RespondID,CulturalReligBelief,FearNotReadyFaceProblem,FearImmigrationLegal,FocusOtherIssues,HealthServicesTooFarAway,LackInsUnablePay,LackKnowledgeUnderstandNeed,NoAppointmentsAvailableDoctor,WaitTooLongDoctor,LackTransport,LackQualityServices,TooBusyCantGetOffWork,LackofProvidersAcceptInsure,None,Other
11172347091,,,Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,No Appointments Available at Doctor When Needed,,Lack of Transportation,,,,,
11172335569,,,,,,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,,,,Lack of Providers Who Accept Your Insurance,,
11172303812,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11172278963,,,Fear (Immigration or Legal Status),,,,,,,Lack of Transportation,,,,,
11172197756,,,,,,,,,Have to Wait Too Long at Doctor's Visit,,,,,,
11172186318,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,Lack of Transportation,,Too Busy/Can't Get Off Work,,,
11172167471,,,,,,,Lack of Knowledge/Understanding of Need,,,,,,,,
11172149313,,,,,,,,,,,,,,,
11172120974,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11172062754,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11172052079,,,,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11172044998,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,,,,,,
11172041700,,,,,,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,,,
11172034736,,Fear (Not Ready to Face Health Problem),,,,,,,Have to Wait Too Long at Doctor's Visit,,,,,,
11172010683,,,,,,,,,,,Lack of Quality Services,,,,
11172000928,,,,,,,,,,,,,,,
11171936973,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11171889102,,,,Focus on Other Issues,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,,,,,,
11171775862,,,,,,,,,,,,,,,
11171744820,Cultural/Religious Beliefs,,,,,,,,,,,,,,
11171441943,,,,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,Lack of Transportation,,Too Busy/Can't Get Off Work,Lack of Providers Who Accept Your Insurance,,
11170555556,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11170551553,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170547753,,,,,,,,,,,,,,,
11170544349,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170540159,,Fear (Not Ready to Face Health Problem),Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,No Appointments Available at Doctor When Needed,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,Lack of Quality Services,Too Busy/Can't Get Off Work,,,
11170534414,,,,,,,,,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11170529752,,Fear (Not Ready to Face Health Problem),,,,,,,,,,,,,
11170526913,,,,,,,,,,Lack of Transportation,,,,,
11170522659,,,Fear (Immigration or Legal Status),,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,Have to Wait Too Long at Doctor's Visit,,,,Lack of Providers Who Accept Your Insurance,,
11170517469,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170513329,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11170508863,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11170505170,,,Fear (Immigration or Legal Status),,,,,,,,,,Lack of Providers Who Accept Your Insurance,,
11170501657,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,,,,,,
11170497462,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170493685,,Fear (Not Ready to Face Health Problem),,Focus on Other Issues,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11170489392,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170485561,,Fear (Not Ready to Face Health Problem),,,,,,,,,,,,,
11170480662,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,Have to Wait Too Long at Doctor's Visit,,,,Lack of Providers Who Accept Your Insurance,,
11170475594,,Fear (Not Ready to Face Health Problem),,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,Too Busy/Can't Get Off Work,Lack of Providers Who Accept Your Insurance,,
11170465902,,Fear (Not Ready to Face Health Problem),,Focus on Other Issues,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,,,
11170410525,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170406398,,,,,,,,,,,Lack of Quality Services,,,,
11170402172,,,,,,,,No Appointments Available at Doctor When Needed,,,,,,,
11170390467,,,,Focus on Other Issues,,Lack of Insurance/Unable to Pay,,,,,,Too Busy/Can't Get Off Work,,,
11170388316,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11170385868,,Fear (Not Ready to Face Health Problem),,,,,,,,,,,Lack of Providers Who Accept Your Insurance,,
11170384038,,,,,,,,,,,,,,None/No Barriers,
11170380065,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,Lack of Quality Services,,Lack of Providers Who Accept Your Insurance,,
11170379842,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,,,,,,
11170376460,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170375759,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11170373594,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170371268,,Fear (Not Ready to Face Health Problem),Fear (Immigration or Legal Status),,,,,,,,,,,,
11170370535,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11170366506,,Fear (Not Ready to Face Health Problem),Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,Have to Wait Too Long at Doctor's Visit,,,,Lack of Providers Who Accept Your Insurance,,
11170365613,,,,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11170361669,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170361070,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,Lack of Providers Who Accept Your Insurance,,
11170357712,,,,,,,,No Appointments Available at Doctor When Needed,Have to Wait Too Long at Doctor's Visit,,,,Lack of Providers Who Accept Your Insurance,,
11170352706,,Fear (Not Ready to Face Health Problem),,Focus on Other Issues,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,Too Busy/Can't Get Off Work,,,
11170278322,,,,,,,,No Appointments Available at Doctor When Needed,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,,,
11170270798,,,,,,,,,,Lack of Transportation,,,,,
11170267342,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170264318,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170261154,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170258172,,Fear (Not Ready to Face Health Problem),,Focus on Other Issues,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,Lack of Transportation,,,,,
11170253587,,,,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,,Lack of Quality Services,,Lack of Providers Who Accept Your Insurance,,
11170249369,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170244763,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11170241090,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,Have to Wait Too Long at Doctor's Visit,,,,Lack of Providers Who Accept Your Insurance,,
11170236173,,,,,,,,,,Lack of Transportation,,,,,
11170233091,,,,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11170229339,,,,Focus on Other Issues,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11170223351,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,,,,Lack of Providers Who Accept Your Insurance,,
11170219778,,,,,,Lack of Insurance/Unable to Pay,,,,,,,Lack of Providers Who Accept Your Insurance,,
11170214711,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170210539,,,,,,Lack of Insurance/Unable to Pay,,,,,,,Lack of Providers Who Accept Your Insurance,,
11170075695,Cultural/Religious Beliefs,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170074780,,,,,,,Lack of Knowledge/Understanding of Need,,,,,,,,
11170073523,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170072348,,Fear (Not Ready to Face Health Problem),,Focus on Other Issues,,,,,,,,,,,
11170071797,,Fear (Not Ready to Face Health Problem),,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,,,
11170067881,,,,,,,,,Have to Wait Too Long at Doctor's Visit,,,,,,
11170047634,,,,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11170042390,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170036459,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,Too Busy/Can't Get Off Work,Lack of Providers Who Accept Your Insurance,,
11170029101,,,,,,,,No Appointments Available at Doctor When Needed,Have to Wait Too Long at Doctor's Visit,,Lack of Quality Services,,,,
11170022747,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11170017835,,,,,,,Lack of Knowledge/Understanding of Need,,,,,,,,
11169999380,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169996472,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11169993736,Cultural/Religious Beliefs,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169989985,,,,,,Lack of Insurance/Unable to Pay,,,,,,,Lack of Providers Who Accept Your Insurance,,
11169986596,,Fear (Not Ready to Face Health Problem),,,,,,,,,,,,,
11169984164,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11169981309,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11169974644,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169972106,,Fear (Not Ready to Face Health Problem),,Focus on Other Issues,,,,No Appointments Available at Doctor When Needed,,,,,,,
11169969037,,,,,,,,,,,,,,,
11169966175,,,,,,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,,,
11169962352,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11169956552,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11169764917,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169759192,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169753627,,,,Focus on Other Issues,,,,,,,,,,,
11169428242,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,Too Busy/Can't Get Off Work,,,
11169397573,,,Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,,,Too Busy/Can't Get Off Work,,,
11169202582,,Fear (Not Ready to Face Health Problem),Fear (Immigration or Legal Status),Focus on Other Issues,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11169199030,,,,,,,,,,,,,,,
11169196712,,,,,,,,,,Lack of Transportation,,,,,
11169193594,,,,,,,,,,,,,,,no
11169190060,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169187907,,,,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11169186487,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,Have to Wait Too Long at Doctor's Visit,,,,,,
11169183293,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169175856,,,,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,,,,,,
11169174387,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11169173937,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169172317,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11169171337,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169170078,,,,,,,,,,,,,,,
11169166971,,,,,,Lack of Insurance/Unable to Pay,,,,,,,Lack of Providers Who Accept Your Insurance,,
11169165292,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169163908,,Fear (Not Ready to Face Health Problem),Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,Too Busy/Can't Get Off Work,Lack of Providers Who Accept Your Insurance,,
11169162335,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,Too Busy/Can't Get Off Work,,,
11169161039,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,,,,,None/No Barriers,
11169159588,,,,,,,,No Appointments Available at Doctor When Needed,,,,,,,
11169158203,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169157600,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169156152,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169154802,,,,,,,,,,,,,,,
11169153963,,,,,,,,,,,,,,,Cost of medical treatment
11169152282,,,,,,,,,,,,,,,
11169151581,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11169150978,,Fear (Not Ready to Face Health Problem),,,,,,No Appointments Available at Doctor When Needed,,,,,,,
11169148965,,,,Focus on Other Issues,,,Lack of Knowledge/Understanding of Need,No Appointments Available at Doctor When Needed,,,,,,,
11169146608,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11169144330,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169143766,,Fear (Not Ready to Face Health Problem),,,Health Services are Too Far Away,,,,,Lack of Transportation,,,,,
11169143497,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,Too Busy/Can't Get Off Work,,,
11169138263,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11169136558,Cultural/Religious Beliefs,,Fear (Immigration or Legal Status),Focus on Other Issues,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,No Appointments Available at Doctor When Needed,Have to Wait Too Long at Doctor's Visit,,Lack of Quality Services,Too Busy/Can't Get Off Work,Lack of Providers Who Accept Your Insurance,,
11169135569,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11169133857,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169133183,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,Too Busy/Can't Get Off Work,Lack of Providers Who Accept Your Insurance,,
11169133084,,Fear (Not Ready to Face Health Problem),Fear (Immigration or Legal Status),,,,,No Appointments Available at Doctor When Needed,,,,,,,
11169129614,,,,,,Lack of Insurance/Unable to Pay,,,,,Lack of Quality Services,,Lack of Providers Who Accept Your Insurance,,
11169129353,,,,Focus on Other Issues,,Lack of Insurance/Unable to Pay,,,,,,,Lack of Providers Who Accept Your Insurance,,
11169129336,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11169125217,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169122591,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,,,,,,
11169118008,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11169117451,,,,,Health Services are Too Far Away,,,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,,,
11169115321,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,,,,Lack of Providers Who Accept Your Insurance,,
11169112661,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,,,,Lack of Providers Who Accept Your Insurance,,
11169112395,,,Fear (Immigration or Legal Status),,Health Services are Too Far Away,,,No Appointments Available at Doctor When Needed,Have to Wait Too Long at Doctor's Visit,,,,,,
11169110225,,,,,,,,,,,Lack of Quality Services,,,,
11169107368,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11169105275,,,Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,Too Busy/Can't Get Off Work,,,
11169101025,,,,,,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,,,,,,
11169098619,Cultural/Religious Beliefs,,,,,,,,,,,,Lack of Providers Who Accept Your Insurance,,
11169096282,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11169091552,,Fear (Not Ready to Face Health Problem),,,,,,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,,,
11169088964,,Fear (Not Ready to Face Health Problem),Fear (Immigration or Legal Status),Focus on Other Issues,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169084262,,,Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,,,
11169080289,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11169078051,,Fear (Not Ready to Face Health Problem),,Focus on Other Issues,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169076744,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11169075073,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11169061263,,,Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11169053621,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11169050480,,,,,,,,,,,,,,,
11169047266,,,,Focus on Other Issues,,,,,,,,,,,
11169043223,,,Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,,,,,,Too Busy/Can't Get Off Work,Lack of Providers Who Accept Your Insurance,,
11169039671,,,,,,,,,,,,,,None/No Barriers,
11169036708,,,,,,,,,,,,Too Busy/Can't Get Off Work,Lack of Providers Who Accept Your Insurance,,
11169032638,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169027789,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,Lack of Transportation,,,,,
11169026199,,,,,,,,,,Lack of Transportation,Lack of Quality Services,,Lack of Providers Who Accept Your Insurance,,
11169023793,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169021445,,,,,Health Services are Too Far Away,,,,,,,,,,
11169019807,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169017642,,,,Focus on Other Issues,,,Lack of Knowledge/Understanding of Need,,,,,,,,
11169016622,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,Have to Wait Too Long at Doctor's Visit,,,,,,
11169014798,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11169013225,,,,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,,,,Lack of Providers Who Accept Your Insurance,,
11169011413,,Fear (Not Ready to Face Health Problem),,,,,Lack of Knowledge/Understanding of Need,,Have to Wait Too Long at Doctor's Visit,,,,,,
11169009413,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,Lack of Providers Who Accept Your Insurance,,
11168987777,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,,,,Lack of Providers Who Accept Your Insurance,,
11168983610,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,,,,,Lack of Providers Who Accept Your Insurance,,
11168978050,,,,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,Lack of Providers Who Accept Your Insurance,,
11168974990,,Fear (Not Ready to Face Health Problem),,Focus on Other Issues,,Lack of Insurance/Unable to Pay,,,,,Lack of Quality Services,Too Busy/Can't Get Off Work,Lack of Providers Who Accept Your Insurance,,
11168972050,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11168967764,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,Lack of Transportation,,,,,
11168965065,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11168962007,,,,,,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,,,
11168957322,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11168953748,,,,,,Lack of Insurance/Unable to Pay,,,,,Lack of Quality Services,,Lack of Providers Who Accept Your Insurance,,
11168948564,,,,,,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,,,,Lack of Providers Who Accept Your Insurance,,
11168945581,,,,,,,,,Have to Wait Too Long at Doctor's Visit,,,,,,
11168942824,,,,,,,,,,,Lack of Quality Services,,,,
11168940274,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
11168937866,,,Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11168935261,Cultural/Religious Beliefs,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,,,,,
