RespondentID,Child Abuse/Neglect,ChronicDisease,LonelinessIsolation,DomesticViolence,Crime,DentalProblems,CostofHousing,DrugAlcohol,PeoplenotGetVaccImmun,SedentaryLifestyle,Smoking/VapingTobaccoUse,FirearmRelatedInjuries,GunViolence,Suicide,ElderAbuse/Neglect,MentalHealthProblems,Obesity,SexuallyTransmittedDiseases,Rape/SexualAssault,AgingProblems,Homelessness,QualityNutrition,SeniorCare,AccessSpecialtyCare,LackofFood,CulturalConcerns,AccesstoPrimaryCare,TeenPregnancy,Dementia/Alzheimer,Other
11175092364,Child Abuse/Neglect,,,,,,,,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,Rape/Sexual Assault,,,,,,,,,,Dementia/Alzheimer,
11173249386,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",Loneliness /Isolation,,,,Cost of Housing,,,,,,,,,,,,,,,,,,,,,,,
11173235540,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,People not Getting Vaccinations/Immunizations,,,Firearm-Related Injuries,Gun Violence,,,,,,,,,,,,,,,,Dementia/Alzheimer,
11173223016,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,Dental Problems,Cost of Housing,,,,,,,,,,,,,,,,,,,,,,,
11173209838,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",Loneliness /Isolation,,,,,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11173198394,Child Abuse/Neglect,,,,Crime,,,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,Gun Violence,,,,,,,,,,,,,,,,,
11173190326,,,Loneliness /Isolation,,Crime,Dental Problems,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,,,,,,,,,
11173055944,Child Abuse/Neglect,,Loneliness /Isolation,Domestic Violence,,,,,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,,,,,,,,,,,
11173042890,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,Cost of Housing,,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,Aging Problems,,,,,,,,,Dementia/Alzheimer,
11173026214,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11172966525,,,,,Crime,,Cost of Housing,Drug/Alcohol,,,,,Gun Violence,,,Mental Health Problems,,,,,,,,,,,,,,
11172938467,,,,,,,Cost of Housing,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,Elder Abuse/Neglect,,,,,,,,,,,,,,,
11172872881,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),,,,,Elder Abuse/Neglect,,,,,,,,,,,,,,,
11172803317,,,,,,,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,,,,,,Lack of Food,,,,,Hospitals
11172753320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11172746603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11172363102,Child Abuse/Neglect,,Loneliness /Isolation,,,,Cost of Housing,,,,"Smoking/Vaping, Tobacco Use",,,,,Mental Health Problems,,,,,,,,,,,,,,
11172347091,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,Quality Nutrition,,,,,,,,
11172335569,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,Aging Problems,,,Senior Care,,,,,,,
11172303812,,,Loneliness /Isolation,,,Dental Problems,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,Obesity,,,,,,,,,,,,,
11172278963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11172197756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11172186318,Child Abuse/Neglect,,,,,,Cost of Housing,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,Suicide,,,,,,,,,,,,,,,,
11172167471,,,,,,,,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,Elder Abuse/Neglect,,Obesity,,,,,,,,,,,,,Chemicals used for mosquito control and Red Tide
11172149313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11172120974,,,,,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,Homelessness,Quality Nutrition,,Access to Specialty Care,,,,,,
11172062754,,,Loneliness /Isolation,Domestic Violence,,,Cost of Housing,,,,,,,,,,,,,,Homelessness,,,,,,,,,housing
11172052079,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,,,,,Elder Abuse/Neglect,,,,,,Homelessness,,,,,,,,,
11172044998,Child Abuse/Neglect,,Loneliness /Isolation,,,,,,,Sedentary Lifestyle (Not Enough Exercise),,,Gun Violence,,,,,,,,,,,,,,,,,
11172041700,,,,,,Dental Problems,Cost of Housing,,,,"Smoking/Vaping, Tobacco Use",,,,,,Obesity,,,,,,,,,Cultural Concerns,,,,
11172034736,,,,,Crime,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,Gun Violence,,Elder Abuse/Neglect,,,,,Aging Problems,Homelessness,Quality Nutrition,,,Lack of Food,,,,,
11172010683,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",Loneliness /Isolation,,,Dental Problems,,,,,,,,,,,,,,,Homelessness,,,,,,,,,
11172000928,Child Abuse/Neglect,,,Domestic Violence,,,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,,,,,,,,,,
11171936973,,,Loneliness /Isolation,,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11171889102,,,Loneliness /Isolation,,,,Cost of Housing,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,,Mental Health Problems,,,,,,,,,,,Access to Primary Care,,,
11171775862,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,,,,,,,Dementia/Alzheimer,
11171744820,,,,,,,,,,,"Smoking/Vaping, Tobacco Use",Firearm-Related Injuries,Gun Violence,,,,,,,,Homelessness,,,,,,,Teenage Pregnancy,,
11171441943,,,,,,,Cost of Housing,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,,Quality Nutrition,,,,,Access to Primary Care,,,
11170555556,Child Abuse/Neglect,,Loneliness /Isolation,,,,Cost of Housing,,,,,,,,Elder Abuse/Neglect,,,,,,Homelessness,,,,,,,,,
11170551553,Child Abuse/Neglect,,,Domestic Violence,,,,Drug/Alcohol,,,,,,Suicide,,,,,,,Homelessness,,,,,,,,,
11170547753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11170544349,Child Abuse/Neglect,,Loneliness /Isolation,,,,Cost of Housing,,,,,,,,Elder Abuse/Neglect,,,,,,Homelessness,,,,,,,,,
11170540159,,,Loneliness /Isolation,Domestic Violence,,,,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11170534414,,,,Domestic Violence,Crime,Dental Problems,Cost of Housing,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",Firearm-Related Injuries,Gun Violence,Suicide,Elder Abuse/Neglect,Mental Health Problems,,,,Aging Problems,Homelessness,,,,Lack of Food,,Access to Primary Care,,,
11170529752,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,People not Getting Vaccinations/Immunizations,,"Smoking/Vaping, Tobacco Use",,Gun Violence,,Elder Abuse/Neglect,Mental Health Problems,,,,,,,,,,,,,,
11170526913,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,Aging Problems,Homelessness,Quality Nutrition,,,,,,,,
11170522659,Child Abuse/Neglect,,,,,,,Drug/Alcohol,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11170517469,,,,,,,Cost of Housing,Drug/Alcohol,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,,,,,,,,,,,,,,
11170513329,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,,,,,,,,,,,,Quality Nutrition,Senior Care,Access to Specialty Care,,,,,,
11170508863,Child Abuse/Neglect,,Loneliness /Isolation,,,,,,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,,,,,,,,,,,
11170505170,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,,,,,,,,,,,Aging Problems,,,,,,,,,,
11170501657,Child Abuse/Neglect,,,,,,,,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,,Homelessness,,,,,,,Teenage Pregnancy,,
11170497462,Child Abuse/Neglect,,,,,,Cost of Housing,,,,,,,,,Mental Health Problems,Obesity,,Rape/Sexual Assault,,,,,,,,,,,
11170493685,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,,,,,,,,,Suicide,,,,,,,Homelessness,,,,,,,,,
11170489392,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,Cost of Housing,,,,,,,,,,,,,,Homelessness,Quality Nutrition,,,,,,,,
11170485561,,,Loneliness /Isolation,,,,Cost of Housing,,,,"Smoking/Vaping, Tobacco Use",,Gun Violence,,,,Obesity,,,,,,,,,,,,,
11170480662,Child Abuse/Neglect,,,Domestic Violence,,,,,,,,,,Suicide,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11170475594,Child Abuse/Neglect,,,Domestic Violence,,,,Drug/Alcohol,,,,,,Suicide,,,,,,,,,,,Lack of Food,,,,,
11170465902,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,,,,,,,,,,
11170410525,,,,,,Dental Problems,,Drug/Alcohol,,,,,,Suicide,,Mental Health Problems,,,,,,,,,,,,,,
11170406398,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,Dental Problems,Cost of Housing,,,,,,,,,,,,,,Homelessness,,,,,,,,,
11170402172,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,Cost of Housing,,,,,,,,,,Obesity,,,,,,,,,,,,,
11170390467,Child Abuse/Neglect,,,,,,Cost of Housing,,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11170388316,,,,,,Dental Problems,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,Mental Health Problems,,,,,,,Senior Care,,,,,,,
11170385868,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,,,,,,,,,,,,,,Aging Problems,Homelessness,,,Access to Specialty Care,,,Access to Primary Care,,,
11170384038,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,,,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,Elder Abuse/Neglect,Mental Health Problems,,,,,,,,,,,,,,
11170380065,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,Mental Health Problems,Obesity,,,,,,Senior Care,,,,,,,
11170379842,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,Drug/Alcohol,People not Getting Vaccinations/Immunizations,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,Homelessness,,,,,,,,,
11170376460,Child Abuse/Neglect,,,,Crime,,,,,,,,,,,Mental Health Problems,Obesity,,,,Homelessness,,,,,,,,,
11170375759,,,Loneliness /Isolation,,,,Cost of Housing,,People not Getting Vaccinations/Immunizations,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,not respecting school zones while driving
11170373594,Child Abuse/Neglect,,,,Crime,,,Drug/Alcohol,People not Getting Vaccinations/Immunizations,,,,,,,,,,,,Homelessness,,,,,,,,,
11170371268,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,,,,People not Getting Vaccinations/Immunizations,,,,,,,,,,,,,Quality Nutrition,,,,,,,,
11170370535,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,Aging Problems,,Quality Nutrition,,,,,,,,
11170366506,,,Loneliness /Isolation,,,,Cost of Housing,,,,,,Gun Violence,Suicide,,,,,,Aging Problems,,,,,,,,,Dementia/Alzheimer,
11170365613,,,,,Crime,Dental Problems,,,,,,,,,,,,,,,Homelessness,,Senior Care,,,,Access to Primary Care,,,
11170361669,,,Loneliness /Isolation,,,Dental Problems,,,,,,,,,,,,,,,Homelessness,,,Access to Specialty Care,,,,,,
11170361070,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,Drug/Alcohol,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,,,,,,,Senior Care,,,,,,Dementia/Alzheimer,
11170357712,Child Abuse/Neglect,,,,,,Cost of Housing,,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11170352706,Child Abuse/Neglect,,,,,,Cost of Housing,,,,,,,,Elder Abuse/Neglect,,,,Rape/Sexual Assault,,Homelessness,,,,,,,,,
11170278322,,,,,,Dental Problems,Cost of Housing,,,,,,,,,,,,Rape/Sexual Assault,,Homelessness,,,,,,,,Dementia/Alzheimer,
11170270798,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,,,,,,,,,,,
11170267342,,,,,,Dental Problems,Cost of Housing,,,,,,,,Elder Abuse/Neglect,,,,,,Homelessness,Quality Nutrition,,,Lack of Food,,,,,
11170264318,,,,,,Dental Problems,Cost of Housing,,,,,,,,Elder Abuse/Neglect,,,,,,Homelessness,,,,,,Access to Primary Care,,,
11170261154,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11170258172,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,Crime,Dental Problems,,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11170253587,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,Dental Problems,,,,,,,,,,Mental Health Problems,,,,,,,,,,,,,,
11170249369,,,,,,,Cost of Housing,,,,"Smoking/Vaping, Tobacco Use",,,,Elder Abuse/Neglect,,,,,,Homelessness,,,,,,,Teenage Pregnancy,,
11170244763,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,Domestic Violence,,,,,,,,,Gun Violence,Suicide,,,,,,,,,,,,,,,,
11170241090,,,,,,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,Gun Violence,,,,,,,,Homelessness,,,,,,,,,
11170236173,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",Loneliness /Isolation,Domestic Violence,,Dental Problems,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,,,,,Homelessness,,Senior Care,Access to Specialty Care,Lack of Food,,,Teenage Pregnancy,,
11170233091,Child Abuse/Neglect,,,Domestic Violence,,,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,,,,,,,,
11170229339,,,Loneliness /Isolation,Domestic Violence,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,Aging Problems,,,,,,,,,,
11170223351,,,,,,Dental Problems,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,,,,Access to Specialty Care,,,Access to Primary Care,,,
11170219778,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,,,,,,,,,,,,,,,,,,,,
11170214711,,,,,,Dental Problems,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,,
11170210539,Child Abuse/Neglect,,,Domestic Violence,Crime,Dental Problems,Cost of Housing,,People not Getting Vaccinations/Immunizations,,,,,,,,,,,,,,,,,,,,,
11170075695,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,,,Firearm-Related Injuries,,,,,,,,,Homelessness,,,,,,,Teenage Pregnancy,,
11170074780,Child Abuse/Neglect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11170073523,,,Loneliness /Isolation,,,Dental Problems,,,People not Getting Vaccinations/Immunizations,Sedentary Lifestyle (Not Enough Exercise),"Smoking/Vaping, Tobacco Use",,,,,,,,,Aging Problems,,,,,,,,,Dementia/Alzheimer,
11170072348,Child Abuse/Neglect,,,,,,Cost of Housing,Drug/Alcohol,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,,,,,,,,,,,,,Dementia/Alzheimer,
11170071797,,,,,,Dental Problems,Cost of Housing,,,,,,,,Elder Abuse/Neglect,,,,,Aging Problems,Homelessness,,,,,,,,,
11170067881,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,Cost of Housing,,,,,,,,,,,,,,,,Senior Care,,,,,,,
11170047634,,,,,,,,,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,Sexually Transmitted Diseases (STDs),Rape/Sexual Assault,,Homelessness,,,,,,,,,
11170042390,Child Abuse/Neglect,,,,Crime,,,,,,,,,,,Mental Health Problems,,,Rape/Sexual Assault,,Homelessness,,,,,,,,,
11170036459,,,,,,,Cost of Housing,,,,,,,Suicide,,Mental Health Problems,,,,Aging Problems,Homelessness,,,,,,,,,
11170029101,,,,,,Dental Problems,,,,,,Firearm-Related Injuries,,,,Mental Health Problems,Obesity,,,,,,,Access to Specialty Care,,,,,,
11170022747,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,Obesity,,,,Homelessness,,,,,,,,,
11170017835,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,,,,,,Elder Abuse/Neglect,Mental Health Problems,Obesity,,,,,,,,,,,,,
11169999380,,,,Domestic Violence,Crime,,,,,,,,,,,Mental Health Problems,,,,,Homelessness,,Senior Care,,,,,,,
11169996472,,,,,,,Cost of Housing,,,,,,,,Elder Abuse/Neglect,Mental Health Problems,,,,,,,,,,,,,,
11169993736,Child Abuse/Neglect,,,,,,,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,Aging Problems,,,,,,,,,,
11169989985,Child Abuse/Neglect,,,,,,,,,,,,,Suicide,,Mental Health Problems,,,Rape/Sexual Assault,,,,,,Lack of Food,,,,,
11169986596,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,Crime,,,,,,,,,,,,,,,,Homelessness,,Senior Care,,,,,,Dementia/Alzheimer,
11169984164,,,,,,,,,,Sedentary Lifestyle (Not Enough Exercise),"Smoking/Vaping, Tobacco Use",,,,,,,,,Aging Problems,,,Senior Care,,,,Access to Primary Care,,,
11169981309,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,Sedentary Lifestyle (Not Enough Exercise),,,,,Elder Abuse/Neglect,,Obesity,,,,,,Senior Care,,,,,,,
11169974644,,,Loneliness /Isolation,,,,,,,,,,,,,,,,,Aging Problems,,,Senior Care,,,,,,Dementia/Alzheimer,
11169972106,,,Loneliness /Isolation,,Crime,,,,,Sedentary Lifestyle (Not Enough Exercise),,,,,,,,,,Aging Problems,Homelessness,,,,,,,,,
11169969037,,,Loneliness /Isolation,,,,,Drug/Alcohol,,,,,,,,,Obesity,,,,Homelessness,,,,,,,,,hospital
11169966175,,,Loneliness /Isolation,,,,Cost of Housing,,,,,,,,,,Obesity,,,,Homelessness,,,Access to Specialty Care,,,,,,
11169962352,,,,,,,,,,,"Smoking/Vaping, Tobacco Use",,Gun Violence,,,,,,,Aging Problems,Homelessness,,,,Lack of Food,,,,,
11169956552,Child Abuse/Neglect,,,Domestic Violence,,,,,,,"Smoking/Vaping, Tobacco Use",,Gun Violence,,,Mental Health Problems,,,,,,,,,,,,,,
11169764917,,,Loneliness /Isolation,,,,,,,Sedentary Lifestyle (Not Enough Exercise),"Smoking/Vaping, Tobacco Use",,,,,,Obesity,,,,,,,,,,,,Dementia/Alzheimer,
11169759192,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,Crime,,,,,,,,,,Elder Abuse/Neglect,,,,,,Homelessness,,Senior Care,,,,,,,
11169753627,Child Abuse/Neglect,,Loneliness /Isolation,,,,Cost of Housing,,,,,,,,,,Obesity,Sexually Transmitted Diseases (STDs),,,,,,,,,,,,
11169428242,,,,,,,Cost of Housing,Drug/Alcohol,,,,,,,,Mental Health Problems,,,,,Homelessness,,,,,,,,Dementia/Alzheimer,
11169397573,Child Abuse/Neglect,,,,Crime,,Cost of Housing,Drug/Alcohol,,Sedentary Lifestyle (Not Enough Exercise),"Smoking/Vaping, Tobacco Use",,,Suicide,Elder Abuse/Neglect,Mental Health Problems,Obesity,,,,,,,Access to Specialty Care,,,Access to Primary Care,,,
11169202582,Child Abuse/Neglect,,Loneliness /Isolation,Domestic Violence,,,,,,,,,Gun Violence,,,,,,Rape/Sexual Assault,,Homelessness,,,,,,,,,
11169199030,Child Abuse/Neglect,,,,Crime,,,,,,"Smoking/Vaping, Tobacco Use",,Gun Violence,,,,,,,,,,,,,,,,,
11169196712,Child Abuse/Neglect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11169193594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n/a
11169190060,Child Abuse/Neglect,,,Domestic Violence,,,Cost of Housing,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,,,,,,,,,,
11169187907,,,,,Crime,,Cost of Housing,,,,,,Gun Violence,,,,,,,,,,,,Lack of Food,,,,Dementia/Alzheimer,
11169186487,,,,,Crime,,,,,,,,,,,Mental Health Problems,,,,Aging Problems,Homelessness,,,Access to Specialty Care,,,,,,
11169183293,,,,,,,Cost of Housing,,,,,,Gun Violence,,,Mental Health Problems,,,Rape/Sexual Assault,,,,,,,,,,,
11169175856,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,Cost of Housing,Drug/Alcohol,,,,,Gun Violence,,,,,,,,,,,,,,,,,
11169174387,Child Abuse/Neglect,,Loneliness /Isolation,,,,Cost of Housing,,,,"Smoking/Vaping, Tobacco Use",,,,Elder Abuse/Neglect,,,,,,,,,,,,,,,
11169173937,,,Loneliness /Isolation,,Crime,,Cost of Housing,,,,,,,,,,,,,,Homelessness,,,,,,,,Dementia/Alzheimer,
11169172317,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,,,Firearm-Related Injuries,Gun Violence,,,Mental Health Problems,,,,Aging Problems,,,,,,,,,,
11169171337,,,,,,,,,,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,,,,,,,,,,
11169170078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11169166971,Child Abuse/Neglect,,,Domestic Violence,,Dental Problems,,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,,,,,,,,,,
11169165292,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,Crime,,,,People not Getting Vaccinations/Immunizations,,,,,,,,,,Rape/Sexual Assault,,,,,,,,,,Dementia/Alzheimer,
11169163908,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",Loneliness /Isolation,,Crime,,,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,Elder Abuse/Neglect,,,Sexually Transmitted Diseases (STDs),Rape/Sexual Assault,,,,,,,,,,Dementia/Alzheimer,
11169162335,,,,,Crime,,Cost of Housing,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,Homelessness,,,,,,,,,
