Respondent ID,ResidencyStatus,Age,Gender,Race,Ethnicity,PrimaryLang,LangOther,MedicalnsuranceType,InsuranceOther,ChildUnder18inHome,Employed,ResidenceType,ResidenceOther,IncomeRange,SizeHousehold,ZipCode,HousingBurdened,MaritalStatus,HighestLevelEd
11171936973,Permanent,18-34,Female,White,Not Hispanic or Latino,English,,No Insurance,,Yes,Unemployed,Live with Others,,"Less than $15,000",5,33982,Yes,Single,Some College
11171889102,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Full Time,Own a Home,,"$15,000 to $45,000",2,33947,Yes,Widowed,Some College
11171775862,Permanent,,Male,White,,English,,Medicare/Medicaid,,Yes,Retired,Rent a Home,,"$15,000 to $45,000",4,,Yes,Married,High School Diploma/GED
11171744820,Permanent,35-59,Male,White,,English,,Medicare/Medicaid,,Yes,Full Time,Rent a Home,,"$15,000 to $45,000",3,33983,Not Sure,Married,High School Diploma/GED
11171441943,Permanent,35-59,Male,White,Not Hispanic or Latino,English,,Private insurance,,Yes,Full Time,Own a Home,,"$45,001 to $90,000",6,33955,Yes,Married,Associate's Degree
11170555556,Permanent,60 and over,Female,White,,Other (please specify),italian,Medicare/Medicaid,,No,Retired,Own a Home,,"Less than $15,000",1,33952,Yes,Widowed,Bachelor's Degree
11170551553,Permanent,60 and over,Male,White,,English,,Private insurance,,No,Full Time,Own a Home,,"$90,001 to $150,000",2,33952,No,Married,High School Diploma/GED
11170547753,Permanent,18-34,Female,White,Not Hispanic or Latino,English,,No Insurance,,No,Self-Employed,Own a Home,,"Less than $15,000",1,33952,Yes,Single,Some College
11170544349,Permanent,60 and over,Female,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",1,33983,No,Widowed,Some College
11170540159,Permanent,35-59,Female,Black or African American,Not Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Self-Employed,Rent a Home,,"$15,000 to $45,000",6,33952,Yes,Single,Some College
11170534414,Permanent,60 and over,Male,,Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Unemployed,Rent a Home,,"$15,000 to $45,000",5,33952,Yes,Married,Some College
11170529752,Permanent,60 and over,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",2,33980,No,Married,Some College
11170526913,,,,,,,,,,,,,,,,,,,
11170522659,Permanent,60 and over,Female,White,Not Hispanic or Latino,,,Medicare/Medicaid,,Yes,,Own a Home,,"Less than $15,000",4,33950,Yes,Divorced,High School Diploma/GED
11170517469,Permanent,35-59,Male,White,,English,,Private insurance,,No,Full Time,Own a Home,,"$45,001 to $90,000",2,,Yes,Married,High School Diploma/GED
11170513329,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,,Rent a Home,,"$15,000 to $45,000",3,,Yes,Divorced,Some College
11170508863,Permanent,18-34,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Full Time,Rent a Home,,"Less than $15,000",3,33950,Not Sure,Single,Some High School or Less
11170505170,Permanent,60 and over,Male,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",2,,No,Widowed,Advance Degree (Masters or Doctorate)
11170501657,Permanent,18-34,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Unemployed,Rent a Home,,"$15,000 to $45,000",6,33950,Not Sure,Married,Some College
11170497462,Permanent,18-34,Female,Black or African American,Not Hispanic or Latino,English,,No Insurance,,Yes,Unemployed,Rent a Home,,"Less than $15,000",4,,Yes,Single,High School Diploma/GED
11170493685,Permanent,35-59,Female,Black or African American,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Unemployed,Own a Home,,"Less than $15,000",1,33980,Yes,Divorced,Some College
11170489392,Permanent,18-34,Male,Mixed,Hispanic or Latino,English,,No Insurance,,Yes,Part Time,Rent a Home,,"$15,000 to $45,000",5,33950,Yes,Married,Some College
11170485561,Permanent,35-59,Male,White,,English,,Medicare/Medicaid,,No,Unemployed,Own a Home,,"Less than $15,000",1,33952,No,Single,Some College
11170480662,Seasonal,60 and over,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$45,001 to $90,000",2,33953,No,Married,Some College
11170475594,Permanent,35-59,Female,,Hispanic or Latino,English,,No Insurance,,Yes,Full Time,Rent a Home,,"$15,000 to $45,000",5,33980,Yes,Single,
11170465902,Permanent,18-34,Female,Black or African American,Not Hispanic or Latino,English,,Private insurance,,Yes,Full Time,Rent a Home,,"$15,000 to $45,000",3,,Yes,Single,Some College
11170410525,Permanent,35-59,Male,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",3,33952,Yes,Divorced,High School Diploma/GED
11170406398,Permanent,35-59,Female,Black or African American,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Rent a Home,,"Less than $15,000",1,33950,Yes,Divorced,Some College
11170402172,Permanent,60 and over,Female,White,Hispanic or Latino,Spanish,,Medicare/Medicaid,,No,Retired,Rent a Home,,,1,,Yes,Divorced,High School Diploma/GED
11170390467,Permanent,35-59,Female,Black or African American,Not Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Full Time,Rent a Home,,,4,33950,Yes,Single,Some College
11170388316,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,,,,2,33980,Yes,Divorced,Associate's Degree
11170385868,Permanent,60 and over,Female,White,,English,,Medicare/Medicaid,,No,Retired,Rent a Home,,,1,33980,No,Single,Some College
11170384038,Permanent,35-59,Male,Other,Hispanic or Latino,Spanish,,Private insurance,,No,Full Time,Own a Home,,"$15,000 to $45,000",2,33948,Not Sure,Married,Bachelor's Degree
11170380065,Permanent,60 and over,Female,White,,,,Medicare/Medicaid,,No,Part Time,Own a Home,,"$45,001 to $90,000",1,33952,No,Widowed,Some College
11170379842,Permanent,35-59,Male,Other,Hispanic or Latino,English,,Private insurance,,No,Full Time,Own a Home,,"$45,001 to $90,000",2,33952,No,Married,High School Diploma/GED
11170376460,Permanent,35-59,Male,White,Not Hispanic or Latino,English,,Private insurance,,Yes,Full Time,Own a Home,,"$15,000 to $45,000",2,33954,No,Single,Some College
11170375759,Permanent,35-59,Female,White,Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Self-Employed,Own a Home,,"Less than $15,000",2,33954,Yes,Divorced,High School Diploma/GED
11170373594,Permanent,35-59,Male,White,Not Hispanic or Latino,English,,Private insurance,,No,Full Time,Own a Home,,"$15,000 to $45,000",2,33982,Yes,Married,High School Diploma/GED
11170371268,Permanent,35-59,Female,Black or African American,,English,,Private insurance,,Yes,Full Time,,,,,33954,,,
11170370535,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Private insurance,,No,Full Time,Own a Home,,"$90,001 to $150,000",2,33950,Not Sure,Married,Associate's Degree
11170366506,Permanent,60 and over,Female,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"Less than $15,000",1,33980,Yes,Married,Some College
11170365613,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Private insurance,,No,Full Time,Own a Home,,"$90,001 to $150,000",4,33952,No,Married,Associate's Degree
11170361669,Permanent,60 and over,Male,Black or African American,,English,,Private insurance,,No,Retired,Rent a Home,,"Less than $15,000",,33952,Yes,Married,Some College
11170361070,Permanent,60 and over,Male,,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$90,001 to $150,000",2,33982,No,Married,Some College
11170357712,Permanent,60 and over,Female,Black or African American,,English,,Private insurance,,No,Retired,Rent a Home,,"Less than $15,000",1,33950,Yes,Single,High School Diploma/GED
11170352706,Permanent,18-34,Female,Black or African American,Not Hispanic or Latino,English,,No Insurance,,Yes,Part Time,Rent a Home,,"Less than $15,000",4,33954,Not Sure,Single,Some College
11170278322,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Private insurance,,No,Self-Employed,Rent a Home,,"Less than $15,000",3,33952,Not Sure,Married,High School Diploma/GED
11170270798,Permanent,35-59,Female,Black or African American,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Self-Employed,Own a Home,,"Less than $15,000",1,33952,No,Single,High School Diploma/GED
11170267342,Permanent,35-59,Male,White,Not Hispanic or Latino,English,,No Insurance,,No,Unemployed,Other (please specify),homeless,"Less than $15,000",1,33950,Yes,Single,Bachelor's Degree
11170264318,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,No Insurance,,No,Part Time,Rent a Home,,"Less than $15,000",2,33952,No,Widowed,High School Diploma/GED
11170261154,Permanent,60 and over,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Rent a Home,,"Less than $15,000",1,33950,Not Sure,Divorced,Some College
11170258172,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Unemployed,Rent a Home,,"Less than $15,000",2,33982,Yes,Divorced,High School Diploma/GED
11170253587,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,No Insurance,,No,Full Time,Rent a Home,,"Less than $15,000",9,33948,Yes,Divorced,High School Diploma/GED
11170249369,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Retired,Own a Home,,"$15,000 to $45,000",4,33955,No,Married,Some College
11170244763,Permanent,35-59,Female,,Hispanic or Latino,Spanish,,No Insurance,,Yes,Part Time,Rent a Home,,"Less than $15,000",2,33981,Yes,Single,Some High School or Less
11170241090,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Full Time,Rent a Home,,"Less than $15,000",2,33980,Yes,Single,High School Diploma/GED
11170236173,Permanent,60 and over,Male,White,Not Hispanic or Latino,,,,,No,Retired,Rent a Home,,"Less than $15,000",2,33983,Yes,Divorced,Bachelor's Degree
11170233091,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Unemployed,Own a Home,,,,,,,
11170229339,Seasonal,60 and over,Female,White,Not Hispanic or Latino,English,,Private insurance,,No,Retired,Own a Home,,"$45,001 to $90,000",2,33952,No,Married,Advance Degree (Masters or Doctorate)
11170223351,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Private insurance,,No,,Own a Home,,,2,33948,Not Sure,Married,Bachelor's Degree
11170219778,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Private insurance,,No,Self-Employed,Rent a Home,,,,33950,,,
11170214711,Permanent,18-34,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Full Time,Rent a Home,,"$15,000 to $45,000",5,33952,Yes,Single,High School Diploma/GED
11170210539,Permanent,18-34,Female,White,Not Hispanic or Latino,English,,No Insurance,,Yes,Part Time,Rent a Home,,"Less than $15,000",2,33952,Yes,Single,High School Diploma/GED
11170075695,Permanent,60 and over,Female,White,,English,,Private insurance,,No,Retired,Own a Home,,"$45,001 to $90,000",2,34269,No,Married,Bachelor's Degree
11170074780,Permanent,35-59,Female,,,English,,No Insurance,,Yes,Unemployed,Own a Home,,"Less than $15,000",,33950,Yes,Married,High School Diploma/GED
11170073523,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Part Time,Own a Home,,"Less than $15,000",2,33592,Yes,Married,High School Diploma/GED
11170072348,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$45,001 to $90,000",2,33952,No,Married,Associate's Degree
11170071797,Permanent,60 and over,Female,Mixed,,English,,Medicare/Medicaid,,No,Retired,,,,2,33980,Yes,Married,Some College
11170067881,,60 and over,Female,White,Hispanic or Latino,,,Medicare/Medicaid,,No,Retired,Rent a Home,,"$15,000 to $45,000",,33983,Yes,Single,Some College
11170047634,Permanent,60 and over,Male,White,Not Hispanic or Latino,English,,,,No,Retired,,,,1,homeless coalition,Yes,Married,Some College
11170042390,Permanent,60 and over,Male,,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",3,33948,Not Sure,Married,High School Diploma/GED
11170036459,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,Other (please specify),medicare,No,Full Time,Own a Home,,"$45,001 to $90,000",2,34224,No,Married,Bachelor's Degree
11170029101,Permanent,35-59,Female,White,,English,,Private insurance,,Yes,Unemployed,Own a Home,,"$15,000 to $45,000",4,33952,Yes,Married,Some College
11170022747,Permanent,60 and over,Female,,,English,,Medicare/Medicaid,,No,Retired,Other (please specify),condo,"Less than $15,000",1,33952,Yes,Divorced,Some College
11170017835,Permanent,35-59,Female,Black or African American,,,,Medicare/Medicaid,,No,Unemployed,Own a Home,,"Less than $15,000",2,,No,Single,High School Diploma/GED
11169999380,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,,2,33948,No,Married,High School Diploma/GED
11169996472,Permanent,60 and over,Female,Black or African American,,English,,No Insurance,,No,Retired,Own a Home,,"$90,001 to $150,000",2,33948,No,Married,Advance Degree (Masters or Doctorate)
11169993736,Permanent,60 and over,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,,2,33948,No,Married,Bachelor's Degree
11169989985,Permanent,60 and over,Female,White,,English,,Private insurance,,No,Retired,Own a Home,,,,,Not Sure,Married,Some College
11169986596,Permanent,60 and over,Male,Black or African American,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,,2,33948,Not Sure,,Some College
11169984164,Permanent,60 and over,Female,White,,English,,Private insurance,,No,Retired,Rent a Home,,,2,33948,No,Married,Some College
11169981309,Permanent,35-59,Male,White,,English,,Private insurance,,No,Full Time,Rent a Home,,,2,33948,No,Married,Bachelor's Degree
11169974644,Permanent,60 and over,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",1,33948,No,Widowed,Bachelor's Degree
11169972106,Seasonal,60 and over,Female,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$45,001 to $90,000",2,33948,No,Married,High School Diploma/GED
11169969037,Permanent,60 and over,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$45,001 to $90,000",2,33948,No,Married,Bachelor's Degree
11169966175,Permanent,60 and over,Male,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",1,33948,No,Widowed,Some College
11169962352,Permanent,60 and over,Female,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$45,001 to $90,000",2,33948,No,Married,Advance Degree (Masters or Doctorate)
11169956552,Permanent,60 and over,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$90,001 to $150,000",2,33948,No,Married,Advance Degree (Masters or Doctorate)
11169764917,Permanent,60 and over,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$45,001 to $90,000",2,33983,No,Married,Advance Degree (Masters or Doctorate)
11169759192,Permanent,35-59,Male,,Hispanic or Latino,English,,Private insurance,,No,Unemployed,Own a Home,,"Less than $15,000",2,33952,Yes,Married,High School Diploma/GED
11169753627,,35-59,Female,Black or African American,,English,,Private insurance,,Yes,Full Time,Live with Others,,"$15,000 to $45,000",3,33848,Not Sure,Divorced,Bachelor's Degree
11169428242,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Private insurance,,No,Full Time,Rent a Home,,"$15,000 to $45,000",2,33954,Yes,Single,Bachelor's Degree
11169397573,Permanent,35-59,Female,White,Hispanic or Latino,Spanish,,No Insurance,,Yes,Part Time,Own a Home,,"$15,000 to $45,000",6,33952,Yes,Single,Associate's Degree
11169202582,Permanent,60 and over,Male,White,Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Retired,Rent a Home,,"Less than $15,000",3,33952,Yes,Widowed,High School Diploma/GED
11169199030,Permanent,60 and over,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Rent a Home,,"Less than $15,000",2,33948,Yes,Single,High School Diploma/GED
11169196712,Permanent,60 and over,Female,,,English,,No Insurance,,Yes,Unemployed,,,,,33950,,,
11169193594,Permanent,35-59,,White,,English,,Other (please specify),yes,Yes,Self-Employed,Rent a Home,,,4 1/2,3352,Not Sure,Married,Some College
11169190060,Permanent,18-34,Female,White,,English,,No Insurance,,Yes,Full Time,Rent a Home,,"$15,000 to $45,000",48 1 baby,33983,Yes,Single,Some College
11169187907,Permanent,35-59,Female,Other,,English,,Medicare/Medicaid,,No,Part Time,,,"$15,000 to $45,000",1,33952,Yes,Single,Some College
11169186487,Permanent,35-59,Male,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"Less than $15,000",1,33952,Not Sure,Single,Some College
11169183293,Permanent,35-59,Female,White,,English,,Medicare/Medicaid,,Yes,Retired,Live with Others,,"Less than $15,000",4,33952,Yes,Married,Some College
11169175856,Permanent,60 and over,Female,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",1,33952,Yes,Widowed,Some College
11169174387,Permanent,60 and over,Female,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$45,001 to $90,000",1,33948,No,Widowed,High School Diploma/GED
11169173937,Permanent,35-59,Female,White,,,,Medicare/Medicaid,,No,Retired,,,"Less than $15,000",2,33982,Not Sure,Single,High School Diploma/GED
11169172317,Seasonal,60 and over,Female,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"Over $150,000",2,33948,No,Married,Advance Degree (Masters or Doctorate)
11169171337,Temporary,35-59,Female,White,,English,,Medicare/Medicaid,,Yes,Part Time,Rent a Home,,"$15,000 to $45,000",5,33952,Yes,Single,Some College
11169170078,Permanent,60 and over,Female,White,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",1,33948,Not Sure,Widowed,Some College
11169166971,Permanent,60 and over,Male,,Hispanic or Latino,English,,Private insurance,,No,Retired,Rent a Home,,"Less than $15,000",1,33952,Yes,Divorced,Some College
11169165292,Permanent,60 and over,Male,,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",3,33948,No,Married,Some College
11169163908,Permanent,60 and over,Female,American Indian or Alaska Native,,English,,Medicare/Medicaid,,No,Retired,Other (please specify),sill have a mortgage,,,,,,
11169162335,Permanent,60 and over,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$90,001 to $150,000",2,33948,No,Married,Bachelor's Degree
11169161039,Permanent,35-59,Female,Black or African American,,English,,Other (please specify),BLANK,No,Full Time,Own a Home,,"$15,000 to $45,000",2,33954,Yes,Single,High School Diploma/GED
11169159588,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$45,001 to $90,000",2,33948,No,Married,Some College
11169158203,Permanent,60 and over,Female,White,,English,,,,No,Retired,Own a Home,,"Less than $15,000",1,33952,Yes,Divorced,Some High School or Less
11169157600,Permanent,18-34,Male,Black or African American,Not Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Full Time,Other (please specify),shelter,"$15,000 to $45,000",3,33948,Yes,Single,Some College
