RespondID,HealthierMenuOptionsRest,FreeLowCostSportsEquip,AccessTrailsParks,CounselingSupport,WellMaintainedSidewalks,HealthEducationWellnessProg,AffordableSportsRecActiv,FarmersMarkets,CommunityGardens,SmokeFreeEnviron,MentalHealthSupportProg,AdequateAfterSchoolProg,DiversityTolerantPop,AffordableHousing,HighQualJobs,ArtsCulturalEvents,CleanEnviron,TransportationOptions,LowCrimeSafeNeighborhoods,ReligiousSpiritualValues,Churches,QualEducGoodSchools,Other
11175139037,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,,Farmers Markets,,Smoke-Free Environment,,,,,,,Clean Environment,,,,Churches,,
11175128915,,,,,,,Affordable Sports and Recreation Activities,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,,
11175115405,,,,,,,,,,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,,
11175104609,,,,,Well-Maintained Sidewalks,,,,,Smoke-Free Environment,,,,,,,Clean Environment,Transportation Options,Low Crime/Safe Neighborhoods,,,,
11175092364,,,Access to Trails and Parks,Counseling & Support,,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,,,,,,,,High Quality Jobs,,,,Low Crime/Safe Neighborhoods,,,,
11173249386,,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,Clean Environment,,,Religious and Spiritual Values,,Quality Education (Good Schools),
11173235540,,,,,,Health Education/Wellness Programs,,Farmers Markets,,Smoke-Free Environment,,,,Affordable Housing,,,,,,,,,
11173223016,Healthier Menu Options at Restaurants,,,,,,,,,,,,,,,,,,,,,,
11173209838,,,,Counseling & Support,,Health Education/Wellness Programs,,Farmers Markets,,,,,,,High Quality Jobs,,,,,,,,
11173198394,,Free or Low Cost Sports Equipment,,,,Health Education/Wellness Programs,,,,,,Adequate After-School Programs,,Affordable Housing,,,,,,,,,
11173190326,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,,,,,,,,,,
11173055944,,,,,Well-Maintained Sidewalks,,,,,,,,,,,,,,,,,,
11173042890,Healthier Menu Options at Restaurants,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11173026214,,Free or Low Cost Sports Equipment,,,,,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,High Quality Jobs,,,,Low Crime/Safe Neighborhoods,,,,
11172966525,Healthier Menu Options at Restaurants,,,,,,,,,Smoke-Free Environment,,,,,,,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11172938467,,Free or Low Cost Sports Equipment,,,Well-Maintained Sidewalks,,,,,Smoke-Free Environment,,,,Affordable Housing,,,,,Low Crime/Safe Neighborhoods,,,,
11172872881,,,,,,Health Education/Wellness Programs,,Farmers Markets,,Smoke-Free Environment,Mental Health Support Programs,,,,High Quality Jobs,,,,,,,,
11172803317,,Free or Low Cost Sports Equipment,,,,,,,,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11172753320,,,,,Well-Maintained Sidewalks,,,,,,,,,,,,,Transportation Options,,,,,
11172746603,,,,,Well-Maintained Sidewalks,,,,,,,,,,,,,Transportation Options,,,,,
11172363102,Healthier Menu Options at Restaurants,,,Counseling & Support,,,,,,Smoke-Free Environment,Mental Health Support Programs,,,,,,,,,,,,
11172347091,,,,,Well-Maintained Sidewalks,,,,,,,,,,,,Clean Environment,,Low Crime/Safe Neighborhoods,Religious and Spiritual Values,Churches,,
11172335569,,,Access to Trails and Parks,,,,,,,,Mental Health Support Programs,,,,High Quality Jobs,,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11172303812,,,,,,,,,,,,,,Affordable Housing,,,,,Low Crime/Safe Neighborhoods,,,,
11172278963,,Free or Low Cost Sports Equipment,,Counseling & Support,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,,,,High Quality Jobs,,Clean Environment,Transportation Options,,,Churches,Quality Education (Good Schools),
11172197756,,,,,,,,,,Smoke-Free Environment,,,,,High Quality Jobs,,Clean Environment,,,Religious and Spiritual Values,,,
11172186318,,,,Counseling & Support,,,,,,Smoke-Free Environment,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11172167471,,,,Counseling & Support,,Health Education/Wellness Programs,,,,,,,,,,,,,,,,,
11172149313,,,,,,,,,,,,,,,,,,,,,,,
11172120974,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,,,,,,,High Quality Jobs,,,Transportation Options,,,,,
11172062754,,,,,,,,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,affordable housing
11172052079,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,Clean Environment,,,,,,
11172044998,Healthier Menu Options at Restaurants,,Access to Trails and Parks,,,,,,,,,,,,,Arts and Cultural Events,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11172041700,,Free or Low Cost Sports Equipment,,,Well-Maintained Sidewalks,,,,,,,Adequate After-School Programs,,Affordable Housing,,,,Transportation Options,,,,,
11172034736,Healthier Menu Options at Restaurants,,,,,,,Farmers Markets,,,,,,,,,,,,Religious and Spiritual Values,Churches,,"Cleanliness of hallway of senior housing in Punta Gorda, the Verandas, on Airport Rd"
11172010683,,,,,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,,High Quality Jobs,,,,,,,,
11172000928,,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,Arts and Cultural Events,,,,Religious and Spiritual Values,Churches,Quality Education (Good Schools),
11171936973,,,,,,,Affordable Sports and Recreation Activities,,,,,Adequate After-School Programs,,Affordable Housing,,,,,,,,,
11171889102,,,,,,,,,,,Mental Health Support Programs,,A Diversity-Tolerant Population,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11171775862,Healthier Menu Options at Restaurants,,,,,,Affordable Sports and Recreation Activities,Farmers Markets,,Smoke-Free Environment,,Adequate After-School Programs,,,,Arts and Cultural Events,Clean Environment,,,Religious and Spiritual Values,,Quality Education (Good Schools),
11171744820,,Free or Low Cost Sports Equipment,,,Well-Maintained Sidewalks,Health Education/Wellness Programs,,,Community Gardens,Smoke-Free Environment,,,,,,,,,,,,,
11171441943,Healthier Menu Options at Restaurants,Free or Low Cost Sports Equipment,Access to Trails and Parks,,Well-Maintained Sidewalks,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,,,Smoke-Free Environment,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,Arts and Cultural Events,Clean Environment,Transportation Options,Low Crime/Safe Neighborhoods,Religious and Spiritual Values,Churches,Quality Education (Good Schools),
11170555556,Healthier Menu Options at Restaurants,,,,Well-Maintained Sidewalks,,,,,,,,,,,,,Transportation Options,,,,,
11170551553,,,,,Well-Maintained Sidewalks,,,,,Smoke-Free Environment,,,,,High Quality Jobs,,,,,,,,
11170547753,,,,,,,,,,,,,,,,,,,,,,,
11170544349,,,,Counseling & Support,,Health Education/Wellness Programs,,,,,,,,Affordable Housing,,,,,,,,,
11170540159,,,,,,,,,,,Mental Health Support Programs,Adequate After-School Programs,A Diversity-Tolerant Population,Affordable Housing,High Quality Jobs,Arts and Cultural Events,,Transportation Options,,,,,
11170534414,,,,Counseling & Support,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,,,,,Transportation Options,Low Crime/Safe Neighborhoods,,,,
11170529752,,,,,,,,,,,,,A Diversity-Tolerant Population,Affordable Housing,,,Clean Environment,,,,,,
11170526913,,,,,Well-Maintained Sidewalks,,,,,,Mental Health Support Programs,,,,,,,Transportation Options,,,,,
11170522659,,Free or Low Cost Sports Equipment,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,Low Crime/Safe Neighborhoods,Religious and Spiritual Values,,Quality Education (Good Schools),
11170517469,,Free or Low Cost Sports Equipment,,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,Farmers Markets,Community Gardens,,,,,,High Quality Jobs,,,,,,,,
11170513329,,,Access to Trails and Parks,,,Health Education/Wellness Programs,,,,,,,,Affordable Housing,High Quality Jobs,,Clean Environment,,,,,,
11170508863,Healthier Menu Options at Restaurants,,,Counseling & Support,,,,,,,,,,Affordable Housing,,,,,,,,,
11170505170,,,,,,,,Farmers Markets,,Smoke-Free Environment,,,,,,,,,,,,,
11170501657,,,,,Well-Maintained Sidewalks,,,,Community Gardens,,,,,,,,,,,,,,
11170497462,,Free or Low Cost Sports Equipment,,,,,Affordable Sports and Recreation Activities,,,,Mental Health Support Programs,,,,,,,Transportation Options,,,,,
11170493685,Healthier Menu Options at Restaurants,,,Counseling & Support,,,Affordable Sports and Recreation Activities,,,,,,,,High Quality Jobs,Arts and Cultural Events,,,,,,,
11170489392,,Free or Low Cost Sports Equipment,,,,,,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,Quality Education (Good Schools),
11170485561,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,,Farmers Markets,,,,,,,High Quality Jobs,Arts and Cultural Events,,Transportation Options,,,,,
11170480662,,,,Counseling & Support,,,,,,Smoke-Free Environment,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,,,,,,
11170475594,,Free or Low Cost Sports Equipment,,Counseling & Support,,,Affordable Sports and Recreation Activities,,,,Mental Health Support Programs,,,Affordable Housing,,,,,,,,,
11170465902,,Free or Low Cost Sports Equipment,,,,,Affordable Sports and Recreation Activities,,,,,,A Diversity-Tolerant Population,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11170410525,,,,,,,,,,,,,,,High Quality Jobs,,,,Low Crime/Safe Neighborhoods,,,,
11170406398,,Free or Low Cost Sports Equipment,,,Well-Maintained Sidewalks,,,,,,,,,,,,,Transportation Options,,,,,
11170402172,,,,,,,Affordable Sports and Recreation Activities,Farmers Markets,,,,,,Affordable Housing,,Arts and Cultural Events,Clean Environment,Transportation Options,,,,Quality Education (Good Schools),the schools need more programs for the kids
11170390467,,,,,,,,,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11170388316,,,,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,,Smoke-Free Environment,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,Quality Education (Good Schools),
11170385868,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,,,,,,,,,,,,Transportation Options,,,,,
11170384038,,,,,,Health Education/Wellness Programs,,,,Smoke-Free Environment,,,,,High Quality Jobs,Arts and Cultural Events,Clean Environment,,,,,,
11170380065,,,,,,,Affordable Sports and Recreation Activities,,,,,Adequate After-School Programs,,,High Quality Jobs,,,Transportation Options,,,,,
11170379842,,,,,,,Affordable Sports and Recreation Activities,,Community Gardens,,,,,Affordable Housing,,Arts and Cultural Events,Clean Environment,,,,,,
11170376460,,,,,,,,,,,,,,,,,Clean Environment,,,,,,
11170375759,Healthier Menu Options at Restaurants,,,,Well-Maintained Sidewalks,,,,,,,,,,,,,,,,,,
11170373594,,,,,,,,,,,,,,,,,Clean Environment,,,,,,
11170371268,,,,,,,,,,,,,,Affordable Housing,,,,,,,,,
11170370535,Healthier Menu Options at Restaurants,,,,,,Affordable Sports and Recreation Activities,Farmers Markets,,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,,
11170366506,Healthier Menu Options at Restaurants,,,Counseling & Support,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,,,Affordable Housing,,,,,,,,,
11170365613,Healthier Menu Options at Restaurants,,Access to Trails and Parks,,,,Affordable Sports and Recreation Activities,Farmers Markets,,,,,,Affordable Housing,,,,,Low Crime/Safe Neighborhoods,,,Quality Education (Good Schools),
11170361669,,,,,,,,Farmers Markets,,,,,,Affordable Housing,,,,,,,,,
11170361070,,,,,,,Affordable Sports and Recreation Activities,,,,,,,,,,Clean Environment,,,,,,
11170357712,Healthier Menu Options at Restaurants,,,,Well-Maintained Sidewalks,,,,,,,Adequate After-School Programs,,Affordable Housing,,,Clean Environment,,,,,,
11170352706,,,,Counseling & Support,,,Affordable Sports and Recreation Activities,,,Smoke-Free Environment,,,,Affordable Housing,High Quality Jobs,,,,Low Crime/Safe Neighborhoods,,,,
11170278322,Healthier Menu Options at Restaurants,,Access to Trails and Parks,,,,,,Community Gardens,Smoke-Free Environment,,,A Diversity-Tolerant Population,,,,,,,,Churches,,
11170270798,,,,,,,,Farmers Markets,,Smoke-Free Environment,,,,,,,,Transportation Options,,,,,
11170267342,,,,,,,,Farmers Markets,Community Gardens,,,,,,High Quality Jobs,,,,,,,Quality Education (Good Schools),
11170264318,,,,,,,,,,,,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11170261154,,,,,,,,,,Smoke-Free Environment,,,,Affordable Housing,,,,,,,,,
11170258172,,,,,Well-Maintained Sidewalks,,,Farmers Markets,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
11170253587,,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,Low Crime/Safe Neighborhoods,,,Quality Education (Good Schools),
11170249369,,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,,Low Crime/Safe Neighborhoods,,,,
11170244763,,,,Counseling & Support,,,,Farmers Markets,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,Quality Education (Good Schools),
11170241090,,,,Counseling & Support,,,,,,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,
11170236173,Healthier Menu Options at Restaurants,,,,,,,Farmers Markets,,,,,,Affordable Housing,,,,,,,,,
11170233091,,,,,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,Adequate After-School Programs,,,,,,,Low Crime/Safe Neighborhoods,,,Quality Education (Good Schools),
11170229339,,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,Low Crime/Safe Neighborhoods,,,,
11170223351,,,Access to Trails and Parks,,,,,Farmers Markets,,,,,,Affordable Housing,High Quality Jobs,,Clean Environment,,,,,,
11170219778,,Free or Low Cost Sports Equipment,,,,,,,,,,,,Affordable Housing,,,,,,,,,
11170214711,Healthier Menu Options at Restaurants,,,Counseling & Support,Well-Maintained Sidewalks,,,,,,Mental Health Support Programs,,,,,,,,,,,,
11170210539,,Free or Low Cost Sports Equipment,,,,,,,,,,,,Affordable Housing,High Quality Jobs,,,,,,,,
11170075695,Healthier Menu Options at Restaurants,,Access to Trails and Parks,,,,Affordable Sports and Recreation Activities,,,,,,,,High Quality Jobs,Arts and Cultural Events,,,,,,,
11170074780,,,,,,,,,,,,,,,,,,Transportation Options,,,,,
11170073523,,,,,,,,,,,,,,,,Arts and Cultural Events,,,,,,,
11170072348,,,,,,,,,,,,,,Affordable Housing,High Quality Jobs,,Clean Environment,Transportation Options,,,,,
11170071797,,,,,,,Affordable Sports and Recreation Activities,Farmers Markets,,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,Quality Education (Good Schools),
11170067881,,,,,,,,Farmers Markets,,,,,,,,,,Transportation Options,,,,,
11170047634,,Free or Low Cost Sports Equipment,,Counseling & Support,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,,,Mental Health Support Programs,,,,,,,,,,,,
11170042390,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,,,,,,,,Affordable Housing,,,,Transportation Options,Low Crime/Safe Neighborhoods,,,,
11170036459,Healthier Menu Options at Restaurants,,,Counseling & Support,,,,,Community Gardens,,Mental Health Support Programs,,,Affordable Housing,,,,,,,,,
11170029101,,,,,,Health Education/Wellness Programs,,,Community Gardens,,Mental Health Support Programs,,,,,Arts and Cultural Events,,,,,,,
11170022747,,,,Counseling & Support,,,,Farmers Markets,,,,,,,High Quality Jobs,,,Transportation Options,,,,,
11170017835,,,,,,,,Farmers Markets,,Smoke-Free Environment,,,,,,,,,,,Churches,,
11169999380,,,,,,,,,,,,Adequate After-School Programs,,,,,,,Low Crime/Safe Neighborhoods,,,,
11169996472,,,,,,,Affordable Sports and Recreation Activities,,,,,,,,,,Clean Environment,Transportation Options,,,,,
11169993736,,,,,Well-Maintained Sidewalks,,,,,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,,
11169989985,,,,,Well-Maintained Sidewalks,,,,,,,,,,,,,,Low Crime/Safe Neighborhoods,,,,
11169986596,,,,,,,,,,,,,,,,,,,Low Crime/Safe Neighborhoods,,,,
11169984164,,,Access to Trails and Parks,,Well-Maintained Sidewalks,,,,,,,,,Affordable Housing,,,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11169981309,,Free or Low Cost Sports Equipment,Access to Trails and Parks,,,Health Education/Wellness Programs,,,,,,,,,,,,,Low Crime/Safe Neighborhoods,,,,
11169974644,,,,,,,,Farmers Markets,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11169972106,Healthier Menu Options at Restaurants,,,,,,,Farmers Markets,,,,,,,,,Clean Environment,,Low Crime/Safe Neighborhoods,,Churches,,
11169969037,,,,,,,,,,,,,,,,,,,,,,,
11169966175,Healthier Menu Options at Restaurants,,,,,,Affordable Sports and Recreation Activities,,,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,,
11169962352,,,,,,,Affordable Sports and Recreation Activities,Farmers Markets,,Smoke-Free Environment,,,,,High Quality Jobs,,Clean Environment,,,,,,
11169956552,,,,,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,,,,High Quality Jobs,,,,Low Crime/Safe Neighborhoods,,,Quality Education (Good Schools),
11169764917,,Free or Low Cost Sports Equipment,Access to Trails and Parks,,Well-Maintained Sidewalks,,,,,,,,,Affordable Housing,,,,,,,,,
11169759192,,,Access to Trails and Parks,,,,Affordable Sports and Recreation Activities,,,,,,,,,,,,,,,,
11169753627,Healthier Menu Options at Restaurants,Free or Low Cost Sports Equipment,Access to Trails and Parks,,Well-Maintained Sidewalks,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,Farmers Markets,Community Gardens,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,,,,Transportation Options,,,Churches,,
11169428242,,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,,Medication-Assisted Treatment-Friendly sober living
11169397573,Healthier Menu Options at Restaurants,Free or Low Cost Sports Equipment,,Counseling & Support,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,Quality Education (Good Schools),
11169202582,,Free or Low Cost Sports Equipment,Access to Trails and Parks,Counseling & Support,,,,,,,,,,Affordable Housing,,,,,Low Crime/Safe Neighborhoods,,,,
11169199030,,,,,,,,,Community Gardens,,Mental Health Support Programs,,,Affordable Housing,,,Clean Environment,,,,,,
11169196712,,,,,,,,,,,,,,,High Quality Jobs,,,,,,,,
11169193594,,,,,,,,,,,,,,,,,,,,,,,
11169190060,,,Access to Trails and Parks,,,,Affordable Sports and Recreation Activities,,,,,Adequate After-School Programs,,,,,,Transportation Options,,,,,
11169187907,,,,,,,,,,,,,,Affordable Housing,,,,,,,,,
11169186487,,,Access to Trails and Parks,,,,Affordable Sports and Recreation Activities,Farmers Markets,Community Gardens,,,,,Affordable Housing,,,,,,,,,
11169183293,Healthier Menu Options at Restaurants,,,,Well-Maintained Sidewalks,,,Farmers Markets,,,Mental Health Support Programs,,,,,,,,,,,,
11169175856,,,,Counseling & Support,,,,,,,Mental Health Support Programs,,,,,,,Transportation Options,,,,,
11169174387,Healthier Menu Options at Restaurants,,,,,,,Farmers Markets,,,Mental Health Support Programs,,,Affordable Housing,,,Clean Environment,,,,,,
11169173937,,,Access to Trails and Parks,,,,,,,,,,,,,,,,,,,Quality Education (Good Schools),
11169172317,,,,Counseling & Support,,Health Education/Wellness Programs,,,Community Gardens,,Mental Health Support Programs,,A Diversity-Tolerant Population,,,,,,,,,,
11169171337,,,,,Well-Maintained Sidewalks,,,,,,,,,,,,,Transportation Options,,,,,
11169170078,,,,,,,,,,,,,,,,,,Transportation Options,,,,,
11169166971,,,,Counseling & Support,,,,Farmers Markets,,Smoke-Free Environment,,,A Diversity-Tolerant Population,,,,Clean Environment,Transportation Options,,,,,
11169165292,,,,,,,,,,Smoke-Free Environment,Mental Health Support Programs,Adequate After-School Programs,,,,,Clean Environment,,Low Crime/Safe Neighborhoods,,,,
11169163908,,Free or Low Cost Sports Equipment,,,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,,,,Transportation Options,Low Crime/Safe Neighborhoods,,,,
11169162335,,,,Counseling & Support,,,,,,,,,A Diversity-Tolerant Population,Affordable Housing,,,,,Low Crime/Safe Neighborhoods,,,Quality Education (Good Schools),
11169161039,,,,,,,Affordable Sports and Recreation Activities,Farmers Markets,,,,Adequate After-School Programs,,Affordable Housing,High Quality Jobs,,,,,,,,
11169159588,,,,,Well-Maintained Sidewalks,,,,,,,Adequate After-School Programs,,,,,,,,Religious and Spiritual Values,,Quality Education (Good Schools),
11169158203,Healthier Menu Options at Restaurants,,,,,,,,,,,,,,,,,,,,,,
11169157600,,,,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,Community Gardens,,,,,Affordable Housing,,Arts and Cultural Events,,,,,,,
11169156152,Healthier Menu Options at Restaurants,,,,,,,,,,,,,,,,,,,,,,
11169154802,,,,,,,,,,,,,,,,,,,,,,Quality Education (Good Schools),more programs for asd kids
11169153963,,,,,Well-Maintained Sidewalks,,,,,Smoke-Free Environment,,,A Diversity-Tolerant Population,Affordable Housing,High Quality Jobs,,,,,,,,
11169152282,,,,,,,Affordable Sports and Recreation Activities,Farmers Markets,,,,,A Diversity-Tolerant Population,Affordable Housing,,,Clean Environment,,,,,,
11169151581,Healthier Menu Options at Restaurants,,,,,,,Farmers Markets,,Smoke-Free Environment,,,,,,,,,,,,,
11169150978,,Free or Low Cost Sports Equipment,,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,,Smoke-Free Environment,,,,,,,,,,,,,
11169148965,Healthier Menu Options at Restaurants,Free or Low Cost Sports Equipment,,,,,Affordable Sports and Recreation Activities,Farmers Markets,,,,Adequate After-School Programs,,,,,,,,,,,
11169146608,,,,,Well-Maintained Sidewalks,,,,,,,,,Affordable Housing,High Quality Jobs,,Clean Environment,,,,,Quality Education (Good Schools),
11169144330,,,,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,Community Gardens,,,,,Affordable Housing,,Arts and Cultural Events,,,,,,,
11169143766,,,,Counseling & Support,Well-Maintained Sidewalks,,,,,,Mental Health Support Programs,Adequate After-School Programs,,Affordable Housing,,,,,,,,,
11169143497,,,,Counseling & Support,,,Affordable Sports and Recreation Activities,,,,Mental Health Support Programs,,A Diversity-Tolerant Population,Affordable Housing,High Quality Jobs,,Clean Environment,Transportation Options,,,,,
11169138263,Healthier Menu Options at Restaurants,,,Counseling & Support,,Health Education/Wellness Programs,,,,,Mental Health Support Programs,,,,,,,,Low Crime/Safe Neighborhoods,,,,
11169136558,,,Access to Trails and Parks,Counseling & Support,Well-Maintained Sidewalks,,,,,,Mental Health Support Programs,,,Affordable Housing,,,,,,,,,
11169135569,Healthier Menu Options at Restaurants,,,,Well-Maintained Sidewalks,,,Farmers Markets,,,,,,Affordable Housing,,,,Transportation Options,,,,,
11169133857,,,,,,,,,Community Gardens,,Mental Health Support Programs,Adequate After-School Programs,A Diversity-Tolerant Population,Affordable Housing,,,,Transportation Options,,,,,
11169133183,,,,,,,,,,,Mental Health Support Programs,,,Affordable Housing,High Quality Jobs,,,Transportation Options,,,,Quality Education (Good Schools),
11169133084,,,,Counseling & Support,,,Affordable Sports and Recreation Activities,,,Smoke-Free Environment,,,,,,,,,Low Crime/Safe Neighborhoods,,,Quality Education (Good Schools),
11169129614,,,,,Well-Maintained Sidewalks,Health Education/Wellness Programs,,,,,,,,Affordable Housing,,,,,,,,,
11169129353,,Free or Low Cost Sports Equipment,,,,,Affordable Sports and Recreation Activities,,Community Gardens,,,,,Affordable Housing,High Quality Jobs,,,,,,,,
11169129336,,Free or Low Cost Sports Equipment,,Counseling & Support,Well-Maintained Sidewalks,,,,,,,,,Affordable Housing,High Quality Jobs,,,,,,,,
11169125217,Healthier Menu Options at Restaurants,Free or Low Cost Sports Equipment,,Counseling & Support,,Health Education/Wellness Programs,,,,,,Adequate After-School Programs,,,,,,,,,,,
11169122591,,Free or Low Cost Sports Equipment,Access to Trails and Parks,,,,Affordable Sports and Recreation Activities,,,,,,,Affordable Housing,High Quality Jobs,Arts and Cultural Events,,,,,,,
11169118008,Healthier Menu Options at Restaurants,,,,,Health Education/Wellness Programs,,,,,,Adequate After-School Programs,,,,,,,Low Crime/Safe Neighborhoods,,,,
11169117451,,,,,,,Affordable Sports and Recreation Activities,,,,,,A Diversity-Tolerant Population,Affordable Housing,,,,Transportation Options,,,,,
11169115321,,,,Counseling & Support,,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,Farmers Markets,,,,,,,,Arts and Cultural Events,,Transportation Options,,,,,
11169112661,,,,,Well-Maintained Sidewalks,,,,,,,,,,,,,,Low Crime/Safe Neighborhoods,,,,
11169112395,Healthier Menu Options at Restaurants,,,Counseling & Support,,Health Education/Wellness Programs,Affordable Sports and Recreation Activities,,,,Mental Health Support Programs,,,Affordable Housing,,,,Transportation Options,,,,,
