RespondID,No,PrimaryCare,EmergencyCare,DentalAdult,DentalChild,Hospital,Pediatric,Specialty,PharmacyMedication,MentalBehavioral,LegalCounsel,FoodPantryMeals,Shelter,UtilitiesAssistance,ChildCare,RentalHousingAssistance,SupportGroups,PreNatalMaternity,SubstanceAbuseTreatment,Other
11173042890,,,, Dental Care ,,,,,,,,,,,,,,,,
11173026214,No,,,,,,,,,,,,,,,,,,,
11172966525,,"Yes, Primary Care",,,,,,,,,,,,,,,,,,
11172938467,No,,,,,,,,,,,,,,,,,,,
11172872881,,,,,,,,,,,,,,,,,,,,Public transportation to dr appts
11172803317,No,,,,,,,,,,,,,,,,,,,
11172753320,,,,,,,,,,,,,,,,,,,,
11172746603,,,,,,,,,,,,,,,,,,,,
11172363102,,"Yes, Primary Care",,,,, Pediatric Care,,, Mental & Behavioral Health Care,,, Shelter,,,,, Pre-Natal or Maternity Care,,
11172347091,,,,,,,,,, Mental & Behavioral Health Care, Legal Counsel,,,, Child Care, Rental/Housing Assistance,,, Substance Abuse Treatment,
11172335569,,"Yes, Primary Care",, Dental Care ,,,,,, Mental & Behavioral Health Care,,,,,,,,, Substance Abuse Treatment,
11172303812,,,,,,,,,,,,,,,, Rental/Housing Assistance,,,,
11172278963,,"Yes, Primary Care","Yes, Emergency Care",, Dental Care (for Children),, Pediatric Care,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care,,,,, Child Care,,,,,
11172197756,,,,,,,,,,,,,,,,,,,,
11172186318,,,,,,,,,, Mental & Behavioral Health Care, Legal Counsel,, Shelter,,, Rental/Housing Assistance,,, Substance Abuse Treatment,
11172167471,No,,,,,,,,,,,,,,,,,,,
11172149313,,,,,,,,,,,,,,,,,,,,
11172120974,No,,,,,,,,,,,,,,,,,,,
11172062754,,"Yes, Primary Care","Yes, Emergency Care", Dental Care , Dental Care (for Children), Hospital Care,,,,,,, Shelter,,, Rental/Housing Assistance,,,,housing
11172052079,,"Yes, Primary Care","Yes, Emergency Care", Dental Care , Dental Care (for Children), Hospital Care, Pediatric Care, Specialty Care (Specify Under Other),"Yes, Pharmacy/Medication", Mental & Behavioral Health Care, Legal Counsel, Food Pantries/Meals, Shelter, Utilities Assistance, Child Care, Rental/Housing Assistance, Support Groups, Pre-Natal or Maternity Care, Substance Abuse Treatment,Bus Services
11172044998,No,,,,,,,,,,,,,,,,,,,
11172041700,,,, Dental Care , Dental Care (for Children),,,,,, Legal Counsel,, Shelter,,, Rental/Housing Assistance, Support Groups,, Substance Abuse Treatment,
11172034736,,,"Yes, Emergency Care", Dental Care ,,,,,,,,,,,,,,, Substance Abuse Treatment,
11172010683,,,, Dental Care ,,,,,,,,,,,,,,,,
11172000928,,,,,,,,,,,,,,,,,,,,
11171936973,,,,,,,,,,, Legal Counsel,, Shelter,,,, Support Groups,, Substance Abuse Treatment,
11171889102,,"Yes, Primary Care",, Dental Care , Dental Care (for Children),,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care, Legal Counsel,, Shelter,, Child Care,,,,,
11171775862,,,,,,,,,,, Legal Counsel, Food Pantries/Meals,,, Child Care, Rental/Housing Assistance,,,,
11171744820,No,,,,,,,,,,,,,,,,,,,
11171441943,,"Yes, Primary Care",,,,,,,, Mental & Behavioral Health Care,, Food Pantries/Meals,, Utilities Assistance, Child Care, Rental/Housing Assistance, Support Groups,, Substance Abuse Treatment,
11170555556,No,,,,,,,,,,,,,,,,,,,
11170551553,No,,,,,,,,,,,,,,,,,,,
11170547753,,,,,,,,,,,,,,,,,,,,
11170544349,,,,,,,,,,,,,,,,,,,,
11170540159,,,,,,,, Specialty Care (Specify Under Other),, Mental & Behavioral Health Care,,, Shelter, Utilities Assistance,, Rental/Housing Assistance,,,,
11170534414,,"Yes, Primary Care",, Dental Care ,,, Pediatric Care,,,,,,,,,,,,,
11170529752,No,,,,,,,,,,,,,,,,,,,
11170526913,,,,,,,,,, Mental & Behavioral Health Care, Legal Counsel,, Shelter, Utilities Assistance,, Rental/Housing Assistance,,,,
11170522659,,,, Dental Care ,,,,,, Mental & Behavioral Health Care, Legal Counsel,,,,,,,, Substance Abuse Treatment,
11170517469,No,,,,,,,,,,,,,,,,,,,
11170513329,,"Yes, Primary Care",, Dental Care ,,,,,,,,,, Utilities Assistance,, Rental/Housing Assistance,,,,
11170508863,No,,,,,,,,,,,,,,,,,,,
11170505170,No,,,,,,,,,,,,,,,,,,,
11170501657,,"Yes, Primary Care",, Dental Care ,,,,,,,,,,,,,,,,
11170497462,No,,,,,,,,,,,,,,,,,,,
11170493685,,"Yes, Primary Care",, Dental Care ,,,,,, Mental & Behavioral Health Care, Legal Counsel,,,,,,,,,
11170489392,,,,, Dental Care (for Children),,,,,,,,,,,,,,,
11170485561,,,,,,,,,,,,,, Utilities Assistance,,,,,,
11170480662,No,,,,,,,,,,,,,,,,,,,
11170475594,,,,,,,,,, Mental & Behavioral Health Care,,,,,,,,, Substance Abuse Treatment,"Specialists who take medicaid, affordable substance abuse treatment"
11170465902,,"Yes, Primary Care",,,,,, Specialty Care (Specify Under Other),, Mental & Behavioral Health Care,,,,,,,,,,
11170410525,No,,,,,,,,,,,,,,,,,,,
11170406398,,,, Dental Care ,,,,,"Yes, Pharmacy/Medication",, Legal Counsel,,,,,,,,,
11170402172,,,, Dental Care , Dental Care (for Children),,,,,, Legal Counsel, Food Pantries/Meals, Shelter, Utilities Assistance,, Rental/Housing Assistance,,, Substance Abuse Treatment,
11170390467,No,,,,,,,,,,,,,,,,,,,
11170388316,,,, Dental Care ,,,,,,, Legal Counsel,,,,,,,,,
11170385868,,"Yes, Primary Care",,,,, Pediatric Care, Specialty Care (Specify Under Other),,, Legal Counsel,,,,,,,,,
11170384038,No,,,,,,,,,,,,,,,,,,,
11170380065,,"Yes, Primary Care",, Dental Care , Dental Care (for Children),,,,, Mental & Behavioral Health Care, Legal Counsel,,,,,,,,,
11170379842,No,,,,,,,,,,,,,,,,,,,
11170376460,No,,,,,,,,,,,,,,,,,,,
11170375759,No,,,,,,,,,,,,,,,,,,,
11170373594,No,,,,,,,,,,,,,,,,,,,
11170371268,No,,,,,,,,,,,,,,,,,,,
11170370535,,,,,,,,,,,,,,,,,,,,don't know
11170366506,,,,,,,,,,, Legal Counsel, Food Pantries/Meals,, Utilities Assistance,,, Support Groups,,,
11170365613,,"Yes, Primary Care",, Dental Care , Dental Care (for Children),, Pediatric Care,,, Mental & Behavioral Health Care, Legal Counsel,, Shelter,, Child Care, Rental/Housing Assistance,,, Substance Abuse Treatment,
11170361669,,"Yes, Primary Care",,,,,,,,,,,,,,,,,,
11170361070,No,,,,,,,,,,,,,,,,,,,
11170357712,No,,,,,,,,,,,,,,,,,,,
11170352706,,,,,,,,,,,,, Shelter, Utilities Assistance, Child Care, Rental/Housing Assistance,,,,
11170278322,,,,,,,,,,,,, Shelter, Utilities Assistance,, Rental/Housing Assistance,,,,
11170270798,,,, Dental Care ,,,,,,,,,,,,,,,,
11170267342,,,, Dental Care ,,,,,,,,, Shelter,,, Rental/Housing Assistance,,, Substance Abuse Treatment,
11170264318,No,,,,,,,,,,,,,,,,,,,
11170261154,No,,,,,,,,,,,,,,,,,,,
11170258172,No,,,,,,,,,,,,,,,,,,,
11170253587,,,, Dental Care , Dental Care (for Children),,, Specialty Care (Specify Under Other),,,, Food Pantries/Meals,, Utilities Assistance,,,,, Substance Abuse Treatment,
11170249369,,,,,,,,,,,,,,,,,,,,
11170244763,,,, Dental Care ,,,,,, Mental & Behavioral Health Care, Legal Counsel,,,,,, Support Groups,,,transportation
11170241090,,"Yes, Primary Care",, Dental Care ,,,,,,,,,,, Child Care,,,,,
11170236173,,,,,,,,,,,, Food Pantries/Meals,,,, Rental/Housing Assistance,,,,stores
11170233091,,"Yes, Primary Care",, Dental Care ,,,,,, Mental & Behavioral Health Care, Legal Counsel,, Shelter,,,,,, Substance Abuse Treatment,
11170229339,,,,,, Hospital Care,,,,,,,,,,,,,,
11170223351,,"Yes, Primary Care",, Dental Care ,,,,,, Mental & Behavioral Health Care,,,,,,,,,,
11170219778,No,,,,,,,,,,,,,,,,,,,
11170214711,,,, Dental Care ,,,,,, Mental & Behavioral Health Care,,,,,,,,, Substance Abuse Treatment,
11170210539,,,, Dental Care ,,,,,,,,,,,, Rental/Housing Assistance,,,,
11170075695,No,,,,,,,,,,,,,,,,,,,
11170074780,,"Yes, Primary Care",,,,,,,,,,,,,,,,,,
11170073523,No,,,,,,,,,,,,,,,,,,,
11170072348,No,,,,,,,,,,,,,,,,,,,
11170071797,,,,,,,,,,,,,,,,,,,,
11170067881,No,,,,,,,,,,,,,,,,,,,
11170047634,,,, Dental Care ,,,,,, Mental & Behavioral Health Care,,,,, Child Care,,,, Substance Abuse Treatment,
11170042390,No,,,,,,,,,,,,,,,,,,,
11170036459,,"Yes, Primary Care",, Dental Care , Dental Care (for Children),,,,, Mental & Behavioral Health Care,,, Shelter,, Child Care, Rental/Housing Assistance,,,,
11170029101,,,, Dental Care ,,,, Specialty Care (Specify Under Other),,,,,,,,,,,,TBI
11170022747,,,, Dental Care ,,,,,,,,,, Utilities Assistance,,, Support Groups,,,
11170017835,No,,,, Dental Care (for Children),,,,,,,,,,,,,,,
11169999380,No,,,,,,,,,,,,,,,,,,,
11169996472,No,,,,,,,,,,,,,,,,,,,
11169993736,,,,,,,,,,,,,,,,,,,,
11169989985,,,,,,,,,,,,,,,,,,,,
11169986596,No,,,,,,,,,,,,,,,,,,,
11169984164,,"Yes, Primary Care",,,,,,,,,,,,,,,,,,
11169981309,,,,,,,, Specialty Care (Specify Under Other),,,,,,,,,,, Substance Abuse Treatment,
11169974644,,,, Dental Care ,,,,,,,,,,,,,,,,
11169972106,No,,,,,,,,,,,,,,,,,,,
11169969037,,,,,, Hospital Care,,,,,,,,,,,,,,
11169966175,,,,,,,,,,,,,,,,,,,,
11169962352,No,,,,,,,,,,,,,,,,,,,
11169956552,,,,,,,,,,,,, Shelter,,,,,,,
11169764917,,"Yes, Primary Care",,,,,,,,,,,,,, Rental/Housing Assistance,,,,
11169759192,No,,,,,,,,,,,,,,,,,,,
11169753627,,"Yes, Primary Care",,,,,,,,,,,,,,,,,,
11169428242,,"Yes, Primary Care","Yes, Emergency Care", Dental Care ,, Hospital Care,, Specialty Care (Specify Under Other),"Yes, Pharmacy/Medication", Mental & Behavioral Health Care, Legal Counsel,, Shelter, Utilities Assistance, Child Care, Rental/Housing Assistance, Support Groups,, Substance Abuse Treatment,"Non-geriatric, like reproductive endocrinology, decent rheumatology"
11169397573,,"Yes, Primary Care",, Dental Care ,,,,,,,,,,,, Rental/Housing Assistance,,,,
11169202582,No,,"Yes, Emergency Care", Dental Care ,,, Pediatric Care,,,, Legal Counsel,,,,,,,,,
11169199030,,,,,,,,,,,,,,,,,,,,
11169196712,,,,,,,,,,,,,,,,,,,,
11169193594,No,,,,,,,,,,,,,,,,,,,no
11169190060,,,, Dental Care ,,,,,,,,,,, Child Care,,,,,
11169187907,,"Yes, Primary Care",,,,,, Specialty Care (Specify Under Other),,,, Food Pantries/Meals, Shelter,,, Rental/Housing Assistance,,,,
11169186487,,,,,,,,,,,,,,,,,,,,
11169183293,No,,,,,,,,,,,,,,,,,,,
11169175856,,,,,,,, Specialty Care (Specify Under Other),,,,,,,,,,, Substance Abuse Treatment,
11169174387,,,,,,,, Specialty Care (Specify Under Other),, Mental & Behavioral Health Care, Legal Counsel,,,,,,,,,
11169173937,,"Yes, Primary Care",,,,,,,,,,,,,,,,,,
11169172317,,,,,,,,,,,,,,,,, Support Groups,, Substance Abuse Treatment,
11169171337,,,,,,,,,,,,,,,,,,,,
11169170078,,,,,,,,,,,,,,,,,,,,
11169166971,No,,,,,,,,,,,,,,,,,,,
11169165292,No,,,,,,,,,,,,,,,,,,,
11169163908,,"Yes, Primary Care",,,,,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care,,,,, Child Care,,,, Substance Abuse Treatment,
11169162335,,,,,,,,,,,,,,,,,,,,
11169161039,No,,,,,,,,,,,,,,,,,,,
11169159588,,,,,,,,,,,,,,,,,,,,
11169158203,No,,,,,,,,,,,,,,,,,,,
11169157600,,,,,,,,,,,,,,,,,,,,
11169156152,No,,,,,,,,,,,,,,,,,,,
11169154802,,,,,,,,,,, Legal Counsel,,, Utilities Assistance,,,,,,
11169153963,No,,,,,,,,,,,,,,,,,,,
11169152282,,"Yes, Primary Care",,,,,,,,,,,,,,,,,,
11169151581,,,,,,,,,,,,,,,,,,,,
11169150978,No,,,,,,,,,,,,,,,,,,,
11169148965,,,,,,,,,, Mental & Behavioral Health Care,,,,, Child Care,,,, Substance Abuse Treatment,
11169146608,,"Yes, Primary Care",,,,,,,,,,, Shelter,,,,,,,
11169144330,,,,,,,,,,,,,,,,,,,,
11169143766,,"Yes, Primary Care",,,,,,,, Mental & Behavioral Health Care, Legal Counsel,, Shelter,,, Rental/Housing Assistance, Support Groups,,,
11169143497,,,, Dental Care ,,,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care, Legal Counsel,,,,, Rental/Housing Assistance,,, Substance Abuse Treatment,
11169138263,,,,,,,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care,,,,,,, Support Groups,,,
11169136558,No,"Yes, Primary Care","Yes, Emergency Care", Dental Care , Dental Care (for Children), Hospital Care, Pediatric Care, Specialty Care (Specify Under Other),"Yes, Pharmacy/Medication", Mental & Behavioral Health Care, Legal Counsel, Food Pantries/Meals, Shelter, Utilities Assistance, Child Care, Rental/Housing Assistance, Support Groups, Pre-Natal or Maternity Care, Substance Abuse Treatment,
11169135569,,,, Dental Care ,,,,,, Mental & Behavioral Health Care,,,,,,,,,,
11169133857,,,,,,,,,,,,,,,,,,,,aforopbar
11169133183,,"Yes, Primary Care",, Dental Care ,,,,,, Mental & Behavioral Health Care,, Food Pantries/Meals, Shelter,,, Rental/Housing Assistance,, Pre-Natal or Maternity Care, Substance Abuse Treatment,
11169133084,,,"Yes, Emergency Care",,,,,,, Mental & Behavioral Health Care,,,,, Child Care,,, Pre-Natal or Maternity Care,,
11169129614,,,,,,,,,,,, Food Pantries/Meals, Shelter,, Child Care, Rental/Housing Assistance,,,,
11169129353,,,, Dental Care ,,,,,"Yes, Pharmacy/Medication",, Legal Counsel,,,,, Rental/Housing Assistance,,,,
11169129336,,,, Dental Care ,,,,,,, Legal Counsel,,,,,, Support Groups,, Substance Abuse Treatment,
11169125217,No,,,,,,,,,,,,,,,,,,,
11169122591,No,,,,,,,,,,,,,,,,,,,
11169118008,No,,,,,,,,,,,,,,,,,,,
11169117451,,,"Yes, Emergency Care",,,,,,"Yes, Pharmacy/Medication",,,,, Utilities Assistance, Child Care, Rental/Housing Assistance,,,,
11169115321,,"Yes, Primary Care","Yes, Emergency Care", Dental Care ,,,, Specialty Care (Specify Under Other),"Yes, Pharmacy/Medication",, Legal Counsel,,, Utilities Assistance,,,,,,
11169112661,,,,,,,,,,,,,,,,,,,,
11169112395,,"Yes, Primary Care",, Dental Care ,, Hospital Care,,,, Mental & Behavioral Health Care,, Food Pantries/Meals,,,, Rental/Housing Assistance,,,,
11169110225,No,,,,,,,,,,,,,,,,,,,
11169107368,,,, Dental Care ,,,,,,,,, Shelter,,, Rental/Housing Assistance,,,,
11169105275,,,,,,,,,,,,,,,,,,,,
11169101025,No,,,,,,,,,,,,,,,,,,,
11169098619,,,,,,,,,,,,, Shelter,,,,,,,
11169096282,No,,,,,,,,,,,,,,,,,,,
11169091552,,,,,,,,,, Mental & Behavioral Health Care,,, Shelter,,,,,,,
11169088964,,"Yes, Primary Care",, Dental Care ,, Hospital Care,,,, Mental & Behavioral Health Care,,,,,,,,,,
11169084262,,"Yes, Primary Care",, Dental Care ,,,, Specialty Care (Specify Under Other),"Yes, Pharmacy/Medication", Mental & Behavioral Health Care, Legal Counsel, Food Pantries/Meals,,,, Rental/Housing Assistance, Support Groups,,,Asperger and Autism Specialists
11169080289,,"Yes, Primary Care","Yes, Emergency Care",,,,,,,,,,,,,,,,,
11169078051,,"Yes, Primary Care",,,,,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care,, Food Pantries/Meals,,,, Rental/Housing Assistance,,,,
11169076744,No,,,,,,,,,,,,,,,,,,,
11169075073,,,, Dental Care , Dental Care (for Children),,,,, Mental & Behavioral Health Care,,,,, Child Care,,,, Substance Abuse Treatment,
11169061263,,,, Dental Care ,,,,,,,,,,,, Rental/Housing Assistance,,, Substance Abuse Treatment,
11169053621,,"Yes, Primary Care",, Dental Care ,,,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care,,,, Utilities Assistance,, Rental/Housing Assistance,,,,
11169050480,,,,,,,,,,,,,,,,,,,,
11169047266,No,,,,,,,,,,,,,,,,,,,
11169043223,,,, Dental Care ,,,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care, Legal Counsel,,,, Child Care,,,, Substance Abuse Treatment,
11169039671,No,,,,,,,,,,,,,,,,,,,
11169036708,,,,,,,,,,,,, Shelter,,,,,,,
11169032638,No,,,,,,,,,,,,,,,,,,,
11169027789,No,,,,,,,,,,,,,,,,,,,
11169026199,,,,,,,, Specialty Care (Specify Under Other),,,,,,,, Rental/Housing Assistance,,,,Arthritis and gastrointestinal
11169023793,,,,,,,, Specialty Care (Specify Under Other),,,,,,,,,,,,
11169021445,,,,,, Hospital Care,,,,,,,,,,,,,,
11169019807,No,,,,,,,,,,,,,,,,,,,
11169017642,No,,,,,,,,,,,,,,,,,,,
11169016622,,"Yes, Primary Care",, Dental Care ,,,,,, Mental & Behavioral Health Care,,,,,,, Support Groups,, Substance Abuse Treatment,
11169014798,,,,,,,,,,,,,,,,,,,,
11169013225,,,,,,,,,,,,,,,,,,,,
11169011413,,,,,,,,,,, Legal Counsel,,,,,,,,,
11169009413,,,,,,,,,, Mental & Behavioral Health Care, Legal Counsel,,,,,, Support Groups,, Substance Abuse Treatment,
11168987777,,,,,,,, Specialty Care (Specify Under Other),,,,,,,,,,,,anything outside regular clinic like physical therapy
11168983610,,,,,,,,,,,,,,,,,,,,Physical Therapy
11168978050,,"Yes, Primary Care",,,,,,,, Mental & Behavioral Health Care,,, Shelter,,,,,,,
11168974990,,"Yes, Primary Care",, Dental Care ,, Hospital Care,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care, Legal Counsel,,, Utilities Assistance,,,,,,
11168972050,,,,,,,,,"Yes, Pharmacy/Medication",,,, Shelter,,,,,,,
11168967764,No,,,,,,,,,,,,,,,,,,,
11168965065,,,,,,,,,, Mental & Behavioral Health Care,,,,,,,,,,
11168962007,,,,,,,,,,,,,,,,,,,,Hurricane shelters
11168957322,No,,,,,,,,,,,,,,,,,,,
11168953748,,,,, Dental Care (for Children),,,,,,,,,,,,,,,
11168948564,No,,,,,,,,,,,,,,,,,,,
11168945581,No,,,,,,,,,,,,,,,,,,,
11168942824,,,,,,,,,,,,,,,,, Support Groups,,,
11168940274,,"Yes, Primary Care",, Dental Care ,,,,,,,,,,,, Rental/Housing Assistance,,,,
11168937866,,,,,, Hospital Care,,,"Yes, Pharmacy/Medication",, Legal Counsel,,,,,, Support Groups,, Substance Abuse Treatment,
11168935261,,,,,,,,,, Mental & Behavioral Health Care,, Food Pantries/Meals, Shelter,,,,,,,
11168932016,No,,,,,,,,,,,,,,,,,,,
11168788711,No,,,,,,,,,,,,,,,,,,,
11168783767,,"Yes, Primary Care",, Dental Care ,,,,,,,, Food Pantries/Meals, Shelter,,,,,, Substance Abuse Treatment,
11168778770,No,,,,,,,,,,,,,,,,,,,
11168760288,No,,,,,,,,,,,,,,,,,,,
11168753097,,,,,,,,,,,,,,,,,,,,
11168748328,,,,,,,,,,,,,,,,,,,,
11168741905,No,,,,,,,,,,,,,,,,,,,
11168735906,No,,,,,,,,,,,,,,,,,,,
11168733906,,"Yes, Primary Care","Yes, Emergency Care",, Dental Care (for Children), Hospital Care, Pediatric Care, Specialty Care (Specify Under Other),"Yes, Pharmacy/Medication", Mental & Behavioral Health Care, Legal Counsel, Food Pantries/Meals, Shelter,, Child Care,, Support Groups,,,
11168729577,,,"Yes, Emergency Care",,,,,,,,,,,,, Rental/Housing Assistance,,, Substance Abuse Treatment,
11168728711,,,,,,,,,,,,,,, Child Care,,,,,
11168726759,No,,,,,,,,,,,,,,,,,,,
11168723278,,"Yes, Primary Care",,,,,,,,,,,,,,,,,,
11168718852,,,,,, Hospital Care,, Specialty Care (Specify Under Other),,,,,,,, Rental/Housing Assistance,,,,
11168716255,,,,,,,,,"Yes, Pharmacy/Medication",,,,,,,,,, Substance Abuse Treatment,
11168712393,,,,,,,,,,, Legal Counsel,,,,,,,,,
11168710897,No,,,,,,,,,,,,,,,,,,,
11168707645,,,, Dental Care ,,,,,,,, Food Pantries/Meals,,,,,,,,
11168699973,,,,,,,,,,,,,,,,,,,,
11168699946,No,,,,,,,,,,,,,,,,,,,
11168696658,,,,,,,,,,,,,,,,,,,,
11168694316,No,,,,,,,,,,,,,,,,,,,
11168691332,,,,,,,,,,,,,,,,,,,,
11168684025,,,, Dental Care ,,,,,"Yes, Pharmacy/Medication",,,,,,, Rental/Housing Assistance, Support Groups,,,
11168682452,No,,,,,,,,,,,,,,,,,,,
11168680256,No,,,,,,,,,,,,,,,,,,,
11168674752,No,,,,,,,,,,,,,,,,,,,
11168674651,,,, Dental Care ,,,,,,,,,,,,,,,,
11168670412,,,"Yes, Emergency Care", Dental Care ,,,,,"Yes, Pharmacy/Medication",,, Food Pantries/Meals,, Utilities Assistance, Child Care,,,,,
11168665608,,,, Dental Care ,,,,,, Mental & Behavioral Health Care,,,,,,, Support Groups,,,
11168661093,,,,,,,,,,,,,,,,,,,,
11168657433,No,,,,,,,,,,,,,,,,,,,
11168555676,,,, Dental Care ,,,,,, Mental & Behavioral Health Care,,,,, Child Care,,, Pre-Natal or Maternity Care,,
11168554852,,,,,,,,,,,,,,,,, Support Groups,, Substance Abuse Treatment,
11168545071,No,,,,,,,,,,,,,,,,,,,
11168540351,,"Yes, Primary Care",,,,,,,,,,,,,,,,,,
11168536382,No,,,,,,,,,,,,,,,,,,,
11168525216,No,,,,,,,,,,,,,,,,,,,
11168520917,,"Yes, Primary Care","Yes, Emergency Care", Dental Care , Dental Care (for Children), Hospital Care, Pediatric Care, Specialty Care (Specify Under Other),"Yes, Pharmacy/Medication", Mental & Behavioral Health Care, Legal Counsel, Food Pantries/Meals, Shelter, Utilities Assistance, Child Care, Rental/Housing Assistance, Support Groups, Pre-Natal or Maternity Care, Substance Abuse Treatment,
11168520286,,,,,, Hospital Care,,,,,,,,,,,,,,We have VERY POOR hospitals in charlotte county!
11168515917,,"Yes, Primary Care","Yes, Emergency Care", Dental Care , Dental Care (for Children),,,,,,,,,,,,,,,
11167625375,,"Yes, Primary Care",, Dental Care , Dental Care (for Children),,,,,,,, Shelter,,, Rental/Housing Assistance,,,,
11167431696,,,,,,,,,,,,,,,,,,,,Unsure
11167371497,No,,,,,,,,,,,,,,,,,,,
11167368685,,,,,,,,,,, Legal Counsel,,,,,,,,,
11167363899,,,, Dental Care ,,,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care,,,,,,, Support Groups,,,
11167361483,,,,,,,,,,,, Food Pantries/Meals,,,,,,,,
11167355328,No,,,,,,,,,,,,,,,,,,,
11167355078,,,,,,,,,,,,, Shelter,,, Rental/Housing Assistance,,,,
11167347456,,"Yes, Primary Care",, Dental Care ,,,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care,,, Shelter, Utilities Assistance,, Rental/Housing Assistance,,, Substance Abuse Treatment,
11167340559,,,, Dental Care ,,,,,,,,,,,,,,,,
11167332746,,,,, Dental Care (for Children),,,,,,, Food Pantries/Meals,,,,,,,,
11167331627,No,,,,,,,,,,,,,,,,,,,
11167326695,,"Yes, Primary Care",, Dental Care ,,,,,"Yes, Pharmacy/Medication",,,,, Utilities Assistance,, Rental/Housing Assistance,, Pre-Natal or Maternity Care,,
11167324290,,,,,,,,,,,,,,, Child Care, Rental/Housing Assistance,,,,
11167323591,,"Yes, Primary Care",,,,,, Specialty Care (Specify Under Other),,,,,,,,,,,,
11167323157,,,,,,,,,,,,, Shelter,,, Rental/Housing Assistance,,,,
11167320154,,,"Yes, Emergency Care", Dental Care ,,,,,, Mental & Behavioral Health Care,,,,,,,,,,
11167314128,,,,,,,,,,,,, Shelter,,, Rental/Housing Assistance,,,,
11167313784,,,, Dental Care ,,,,,,,, Food Pantries/Meals,,,,,,,,
11167311362,,,,,,,,,,,,,,,,,,,,
11167303084,,,,,,,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care,,, Shelter, Utilities Assistance,, Rental/Housing Assistance,,,,
11167295215,,"Yes, Primary Care",,,,,,,"Yes, Pharmacy/Medication", Mental & Behavioral Health Care, Legal Counsel,,,, Child Care,,,,,
11167287819,No,,,,,,,,,,,,,,,,,,,
11167284362,,,,,,,,,,,,,,,,,,,,
11167280863,,,,,,,,,, Mental & Behavioral Health Care,,,,,,,,,,
11167274556,,,, Dental Care ,,,,,, Mental & Behavioral Health Care, Legal Counsel, Food Pantries/Meals,,,,,,,,
11167266176,,"Yes, Primary Care",,, Dental Care (for Children),, Pediatric Care,,,,,,,, Child Care, Rental/Housing Assistance,,,,
